nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 6.154963303E+01, 8.696081543E+01, 3.659510851E+00
         2, 6.112329483E+01, 8.711416626E+01, 3.339142084E+00
         3, 6.087287903E+01, 8.676576233E+01, 2.947738886E+00
         4, 6.129710007E+01, 8.661054993E+01, 3.065315962E+00
         5, 6.178844452E+01, 8.732118225E+01, 4.089134216E+00
         6, 6.135701752E+01, 8.748343658E+01, 3.495217085E+00
         7, 2.639394379E+01, 6.881358337E+01, 5.258842468E+00
         8, 2.594047165E+01, 6.855005646E+01, 5.079161167E+00
         9, 2.614743233E+01, 6.823928070E+01, 5.142269135E+00
        10, 2.660563660E+01, 6.848979187E+01, 5.497130871E+00
        11, 2.619448471E+01, 6.915963745E+01, 4.961970329E+00
        12, 2.576532364E+01, 6.888568115E+01, 4.974002838E+00
        13, 3.988116837E+01, 3.675610733E+01, 1.184641933E+01
        14, 4.013787460E+01, 3.630306244E+01, 1.111815739E+01
        15, 4.052276230E+01, 3.655449295E+01, 1.085266876E+01
        16, 4.026157379E+01, 3.701892471E+01, 1.144784355E+01
        17, 3.949286270E+01, 3.650909424E+01, 1.209082127E+01
        18, 3.974860001E+01, 3.605633545E+01, 1.137055779E+01
        19, 1.544476795E+01, 1.586353207E+01, 4.058225155E+00
        20, 1.570649147E+01, 1.627840233E+01, 3.929177999E+00
        21, 1.531685829E+01, 1.656447601E+01, 3.489696026E+00
        22, 1.505939484E+01, 1.615557671E+01, 3.759984970E+00
        23, 1.583342075E+01, 1.560466290E+01, 4.354573250E+00
        24, 1.608415031E+01, 1.596855736E+01, 4.284949303E+00
        25, 5.739606094E+01, 4.954760551E+00, 9.642934799E+00
        26, 5.740669250E+01, 4.436317444E+00, 9.797832489E+00
        27, 5.794501495E+01, 4.372748852E+00, 9.961497307E+00
        28, 5.787657166E+01, 4.874721527E+00, 9.803471565E+00
        29, 5.692114639E+01, 4.522884846E+00, 9.642562866E+00
        30, 5.691852188E+01, 5.030073643E+00, 9.482185364E+00
        31, 3.131991386E+01, 3.871079636E+01, 2.906375408E+00
        32, 3.185145760E+01, 3.844882584E+01, 3.614748716E+00
        33, 3.227508545E+01, 3.885150146E+01, 3.858140230E+00
        34, 3.174205399E+01, 3.911725998E+01, 3.439365864E+00
        35, 3.091339493E+01, 3.829710007E+01, 2.405936718E+00
        36, 3.143983269E+01, 3.804159546E+01, 3.299921989E+00
        37, 9.596369171E+01, 3.925773621E+01, 1.812488317E+00
        38, 9.646820831E+01, 3.929197693E+01, 1.781807899E+00
        39, 9.647380829E+01, 3.980589294E+01, 1.874448419E+00
        40, 9.597066498E+01, 3.977919006E+01, 1.896786094E+00
        41, 9.645915985E+01, 3.876583862E+01, 1.707844138E+00
        42, 9.595540619E+01, 3.873380661E+01, 1.748978019E+00
        43, 3.038888741E+01, 3.484055328E+01, 4.722268581E+00
        44, 3.066769218E+01, 3.532802582E+01, 4.583187580E+00
        45, 3.022090340E+01, 3.554163742E+01, 4.209733486E+00
        46, 2.993984032E+01, 3.505956268E+01, 4.425575256E+00
        47, 3.083090782E+01, 3.463402557E+01, 5.064651012E+00
        48, 3.111545563E+01, 3.511848831E+01, 5.002460003E+00
        49, 2.812944221E+01, 3.133841324E+01, 4.148549557E+00
        50, 2.757097054E+01, 3.152030563E+01, 4.239147186E+00
        51, 2.779074287E+01, 3.091718102E+01, 5.857272148E+00
        52, 2.817249489E+01, 3.081381989E+01, 5.896100521E+00
        53, 2.815787315E+01, 3.185355377E+01, 3.524612665E+00
        54, 2.761990547E+01, 3.210393524E+01, 3.697793722E+00
        55, 6.197554779E+01, 8.679435730E+01, 4.091956615E+00
        56, 6.171520996E+01, 8.643336487E+01, 3.489529610E+00
        57, 9.399131775E+01, 5.031349945E+01, 3.035679102E+00
        58, 9.399850464E+01, 5.081489563E+01, 3.044230938E+00
        59, 9.349289703E+01, 5.080573654E+01, 3.036774874E+00
        60, 9.349008942E+01, 5.030484009E+01, 3.070973396E+00
        61, 9.449244690E+01, 5.032079315E+01, 2.952948570E+00
        62, 9.449845886E+01, 5.082140732E+01, 2.985302210E+00
        63, 9.399275970E+01, 4.981198502E+01, 3.003926754E+00
        64, 9.349191284E+01, 4.980273056E+01, 3.068307638E+00
        65, 9.449825287E+01, 4.982060623E+01, 2.900980473E+00
        66, 9.934635162E+00, 8.337669373E+01, 1.124468517E+01
        67, 1.019609070E+01, 8.294804382E+01, 1.095566177E+01
        68, 1.062315559E+01, 8.320807648E+01, 1.093446064E+01
        69, 1.036156464E+01, 8.363681030E+01, 1.121968555E+01
        70, 9.507819176E+00, 8.311639404E+01, 1.127433586E+01
        71, 9.769059181E+00, 8.268795776E+01, 1.097386837E+01
        72, 9.762693787E+01, 7.424455261E+01, 7.758895755E-01
        73, 9.810122681E+01, 7.422531128E+01, 6.036961675E-01
        74, 9.811367798E+01, 7.467409515E+01, 5.334089398E-01
        75, 9.772319031E+01, 7.456743622E+01, 6.971783042E-01
        76, 9.805828094E+01, 7.376752472E+01, 6.878362894E-01
        77, 9.756060028E+01, 7.383293152E+01, 8.508189321E-01
        78, 9.674374580E+00, 8.380397034E+01, 1.156319427E+01
        79, 1.010144234E+01, 8.406399536E+01, 1.153180313E+01
        80, 9.247341156E+00, 8.354389191E+01, 1.160499287E+01
        81, 3.195089722E+01, 4.931224060E+01, 1.695193768E+00
        82, 3.231261444E+01, 4.901355743E+01, 1.581076145E+00
        83, 3.266656494E+01, 4.933114243E+01, 2.471727610E+00
        84, 3.231235123E+01, 4.962790298E+01, 2.468266726E+00
        85, 3.159705162E+01, 4.899446106E+01, 1.294232488E+00
        86, 3.196889114E+01, 4.869185638E+01, 1.084194541E+00
        87, 3.236740112E+01, 3.818275452E+01, 4.089729786E+00
        88, 3.280440521E+01, 3.856953812E+01, 4.291225433E+00
        89, 1.735144806E+01, 1.886323166E+01, 4.510513783E+00
        90, 1.761196327E+01, 1.915968132E+01, 4.554108620E+00
        91, 1.722256660E+01, 1.947552109E+01, 4.601123810E+00
        92, 1.695708466E+01, 1.918031311E+01, 4.466922283E+00
        93, 1.777622032E+01, 1.859513092E+01, 4.493738174E+00
        94, 1.802011681E+01, 1.891049767E+01, 4.517102242E+00
        95, 2.221728897E+01, 2.426204109E+01, 3.142593622E+00
        96, 2.265663528E+01, 2.400560951E+01, 3.969516277E+00
        97, 2.294432068E+01, 2.442348671E+01, 4.903200150E+00
        98, 2.249549103E+01, 2.468967247E+01, 4.530285358E+00
        99, 2.193889999E+01, 2.382681847E+01, 1.710088253E+00
       100, 2.236945152E+01, 2.357689285E+01, 2.480925798E+00
       101, 1.949808884E+01, 1.756818390E+01, 4.691909313E+00
       102, 1.971981049E+01, 1.790735817E+01, 4.686357498E+00
       103, 1.928885078E+01, 1.816054153E+01, 4.629262924E+00
       104, 1.907038307E+01, 1.782787514E+01, 4.600123405E+00
       105, 2.015633965E+01, 1.766249657E+01, 4.763690472E+00
       106, 1.993182373E+01, 1.731657982E+01, 4.812708855E+00
       107, 1.785694504E+01, 1.945298767E+01, 4.535707951E+00
       108, 1.753094101E+01, 1.964711761E+01, 4.596643925E+00
       109, 1.824799156E+01, 1.923384476E+01, 4.534455299E+00
       110, 5.460511684E+00, 9.365290070E+01, 2.511478996E+01
       111, 5.734023094E+00, 9.321064758E+01, 2.591614151E+01
       112, 6.163594723E+00, 9.350924683E+01, 2.683931923E+01
       113, 5.880653858E+00, 9.395805359E+01, 2.630992126E+01
       114, 5.033795834E+00, 9.337525940E+01, 2.408961105E+01
       115, 5.297706127E+00, 9.293086243E+01, 2.533918190E+01
       116, 1.993723869E+01, 1.826064682E+01, 4.706449032E+00
       117, 1.950527000E+01, 1.850870514E+01, 4.693888187E+00
       118, 2.037566185E+01, 1.801969719E+01, 4.733775616E+00
       119, 5.189385891E+00, 9.409593964E+01, 2.501854897E+01
       120, 5.599501133E+00, 9.438883209E+01, 2.644265938E+01
       121, 4.764184475E+00, 9.381518555E+01, 2.365311050E+01
       122, 8.633747864E+01, 7.384776306E+01, 5.356191635E+00
       123, 8.602387238E+01, 7.412738037E+01, 5.301240921E+00
       124, 8.550824738E+01, 7.385162354E+01, 5.378603935E+00
       125, 8.596157837E+01, 7.362966156E+01, 5.343115807E+00
       126, 8.650429535E+01, 7.430563354E+01, 5.330109119E+00
       127, 8.681833649E+01, 7.397387695E+01, 5.425649166E+00
       128, 3.099498367E+01, 5.310280609E+01, 7.890070915E+00
       129, 3.129166603E+01, 5.276237106E+01, 7.682589531E+00
       130, 3.168823814E+01, 5.309163284E+01, 9.556722641E+00
       131, 3.138984871E+01, 5.342823410E+01, 9.759339333E+00
       132, 3.059912300E+01, 5.278073883E+01, 6.212891579E+00
       133, 3.089337349E+01, 5.244235229E+01, 6.017542839E+00
       134, 3.159725380E+01, 4.961126709E+01, 1.793655276E+00
       135, 3.196643639E+01, 4.992603302E+01, 2.486560345E+00
       136, 5.503495693E+00, 7.722859859E+00, 7.120728016E+00
       137, 5.500014782E+00, 7.270334721E+00, 7.278333187E+00
       138, 6.008119106E+00, 7.267708778E+00, 7.447135925E+00
       139, 6.022937775E+00, 7.755930424E+00, 7.274259567E+00
       140, 4.992472172E+00, 7.716363430E+00, 6.950604916E+00
       141, 4.992033005E+00, 7.274563313E+00, 7.101436615E+00
       142, 8.578518677E+01, 7.446911621E+01, 5.310905933E+00
       143, 8.530270386E+01, 7.426876068E+01, 5.431619644E+00
       144, 8.626561737E+01, 7.462896729E+01, 5.299291611E+00
       145, 8.851322174E+01, 7.196163940E+01, 5.614550114E+00
       146, 8.801956177E+01, 7.185929108E+01, 5.570603848E+00
       147, 8.813567352E+01, 7.140908051E+01, 5.460496902E+00
       148, 8.863736725E+01, 7.152359009E+01, 5.514256954E+00
       149, 8.838134766E+01, 7.240116119E+01, 5.673832417E+00
       150, 8.788922119E+01, 7.229561615E+01, 5.644888878E+00
       151, 3.192839813E+01, 6.303957367E+01, 1.072235012E+01
       152, 3.206896210E+01, 6.350708771E+01, 9.637309074E+00
       153, 3.159312630E+01, 6.345227814E+01, 9.722416878E+00
       154, 3.147507095E+01, 6.302573013E+01, 1.044559288E+01
       155, 3.235492706E+01, 6.301600647E+01, 1.083463097E+01
       156, 3.250357056E+01, 6.351424026E+01, 9.800685883E+00
       157, 1.802984238E+01, 1.980162239E+01, 4.410750389E+00
       158, 1.754565048E+01, 1.993680954E+01, 4.417352676E+00
       159, 1.844673157E+01, 1.958537292E+01, 4.511813641E+00
       160, 6.105499268E+01, 8.626976776E+01, 2.801505089E+00
       161, 6.144160843E+01, 8.608345032E+01, 3.282673120E+00
       162, 1.817047691E+01, 2.016042137E+01, 4.197189331E+00
       163, 1.766846085E+01, 2.029199600E+01, 4.108016014E+00
       164, 1.861952209E+01, 1.996677780E+01, 4.419234753E+00
       165, 6.258002472E+01, 9.245339966E+01, 6.300468445E+00
       166, 6.307248688E+01, 9.234530640E+01, 6.178392887E+00
       167, 6.301961899E+01, 9.274668121E+01, 6.231662750E+00
       168, 6.242400360E+01, 9.280346680E+01, 6.380107403E+00
       169, 6.316406631E+01, 9.194992828E+01, 6.130186081E+00
       170, 6.270282364E+01, 9.206474304E+01, 6.174868584E+00
       171, 5.903905106E+01, 9.537559509E+01, 7.746613979E+00
       172, 5.865801620E+01, 9.483223724E+01, 7.639424324E+00
       173, 5.906549072E+01, 9.455271149E+01, 7.400673866E+00
       174, 5.945422363E+01, 9.489442444E+01, 7.484213829E+00
       175, 5.848220062E+01, 9.554734039E+01, 7.930598259E+00
       176, 5.818865585E+01, 9.504907227E+01, 7.873391628E+00
       177, 1.059932613E+01, 8.612825012E+01, 1.300163078E+01
       178, 1.017220879E+01, 8.586846924E+01, 1.281962967E+01
       179, 1.043399048E+01, 8.543975067E+01, 1.233336639E+01
       180, 1.086118317E+01, 8.569956970E+01, 1.248505020E+01
       181, 9.912289619E+00, 8.629564667E+01, 1.323902988E+01
       182, 1.033948803E+01, 8.655545807E+01, 1.338183975E+01
       183, 8.536911011E+00, 1.504545403E+01, 7.217947006E+00
       184, 8.278625488E+00, 1.463844967E+01, 7.386245728E+00
       185, 8.699244499E+00, 1.435952377E+01, 7.402611732E+00
       186, 8.956324577E+00, 1.477325630E+01, 7.245984554E+00
       187, 8.115934372E+00, 1.531522751E+01, 7.168035984E+00
       188, 7.854955673E+00, 1.490928650E+01, 7.349665165E+00
       189, 5.152118301E+01, 1.322664738E+01, 5.541958332E+00
       190, 5.192224503E+01, 1.353442383E+01, 5.529623985E+00
       191, 5.167990875E+01, 1.391493797E+01, 5.352024078E+00
       192, 5.127751923E+01, 1.361565781E+01, 5.362185478E+00
       193, 5.176271439E+01, 1.284052753E+01, 5.724667549E+00
       194, 5.215589142E+01, 1.315635967E+01, 5.709159374E+00
       195, 3.245017624E+01, 3.752107620E+01, 4.537730694E+00
       196, 3.287663651E+01, 3.791295624E+01, 4.944880962E+00
       197, 3.195294189E+01, 3.778276443E+01, 3.880880117E+00
       198, 3.294925308E+01, 3.725314331E+01, 5.832201004E+00
       199, 3.337528992E+01, 3.762253571E+01, 6.367255211E+00
       200, 6.044974899E+01, 9.211428070E+01, 6.183346272E+00
       201, 5.998959732E+01, 9.232450867E+01, 6.143405914E+00
       202, 5.968649673E+01, 9.183949280E+01, 5.451958656E+00
       203, 6.012623596E+01, 9.161484528E+01, 5.532668591E+00
       204, 6.029925156E+01, 9.282427979E+01, 6.687005043E+00
