nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 6.118295670E+00, 1.857411957E+01, 3.530591011E+00
         2, 6.114953995E+00, 1.806383514E+01, 3.700000286E+00
         3, 6.653194904E+00, 1.800179863E+01, 3.881132841E+00
         4, 6.654782295E+00, 1.851802444E+01, 3.713084936E+00
         5, 5.582082272E+00, 1.864159584E+01, 3.354151964E+00
         6, 5.577792645E+00, 1.813468742E+01, 3.526351690E+00
         7, 8.900025940E+01, 4.999532700E+00, 1.093618774E+01
         8, 8.900018311E+01, 4.499660969E+00, 1.101102829E+01
         9, 8.950005341E+01, 4.499823093E+00, 1.063003922E+01
        10, 8.950008392E+01, 4.999748707E+00, 1.052066231E+01
        11, 8.850044250E+01, 4.999318600E+00, 1.134475708E+01
        12, 8.850031281E+01, 4.499499321E+00, 1.138636780E+01
        13, 1.340250683E+01, 9.650421143E+01, 7.229964256E+00
        14, 1.290732765E+01, 9.650181580E+01, 6.679844856E+00
        15, 1.290391541E+01, 9.600293732E+01, 6.591831684E+00
        16, 1.339688015E+01, 9.600012207E+01, 7.141263962E+00
        17, 1.340638733E+01, 9.700261688E+01, 7.302649021E+00
        18, 1.291058826E+01, 9.700099182E+01, 6.755284786E+00
        19, 7.297056580E+01, 9.899797821E+01, 1.059901905E+01
        20, 7.247001648E+01, 9.899791718E+01, 1.078954124E+01
        21, 7.247283173E+01, 9.849672699E+01, 1.081528664E+01
        22, 7.297339630E+01, 9.849880981E+01, 1.062453747E+01
        23, 7.296912384E+01, 9.949951172E+01, 1.058353996E+01
        24, 7.246854401E+01, 9.949949646E+01, 1.077409077E+01
        25, 1.389754677E+01, 9.650670624E+01, 7.839388847E+00
        26, 1.388861656E+01, 9.599862671E+01, 7.750974178E+00
        27, 1.390208149E+01, 9.700433350E+01, 7.907792091E+00
        28, 6.814414978E+01, 2.453311539E+01, 1.871690941E+01
        29, 6.863945007E+01, 2.446072960E+01, 1.857590485E+01
        30, 6.869150543E+01, 2.495081520E+01, 1.859442902E+01
        31, 6.820511627E+01, 2.503157997E+01, 1.876241302E+01
        32, 6.857254028E+01, 2.396625900E+01, 1.856467247E+01
        33, 6.807917786E+01, 2.402783775E+01, 1.867485809E+01
        34, 6.114240170E+00, 1.908619499E+01, 3.363471031E+00
        35, 6.649349689E+00, 1.903083801E+01, 3.549324512E+00
        36, 5.580384731E+00, 1.915589714E+01, 3.182188034E+00
        37, 3.566677475E+01, 4.227214432E+01, 3.340632629E+01
        38, 3.577440643E+01, 4.179745483E+01, 4.338748169E+01
        39, 3.621428680E+01, 4.198030472E+01, 2.644232941E+01
        40, 3.609428024E+01, 4.246874619E+01, 2.587659073E+01
        41, 3.530678940E+01, 4.171705627E+01, 4.843044281E+01
        42, 3.523942947E+01, 4.221665955E+01, 3.826321030E+01
        43, 7.347112274E+01, 9.899799347E+01, 1.040134144E+01
        44, 7.347455597E+01, 9.849740601E+01, 1.042633820E+01
        45, 7.346970367E+01, 9.949952698E+01, 1.038593483E+01
        46, 3.200070953E+01, 2.783043289E+01, 2.794510269E+01
        47, 3.199868393E+01, 2.734774971E+01, 2.769190407E+01
        48, 3.254782486E+01, 2.737888336E+01, 2.727262878E+01
        49, 3.256289291E+01, 2.786743736E+01, 2.752318573E+01
        50, 3.143146133E+01, 2.778907967E+01, 2.834004784E+01
        51, 3.144467163E+01, 2.732489204E+01, 2.809323883E+01
        52, 1.455947495E+01, 9.183757019E+01, 7.327988625E+00
        53, 1.459166241E+01, 9.237519836E+01, 7.641046524E+00
        54, 1.407351685E+01, 9.226283264E+01, 6.857760429E+00
        55, 1.406289768E+01, 9.169947815E+01, 6.581250191E+00
        56, 1.507528305E+01, 9.195708466E+01, 8.210186005E+00
        57, 1.512201309E+01, 9.246515656E+01, 8.559502602E+00
        58, 6.639287949E+00, 1.954411888E+01, 3.389158249E+00
        59, 6.106315136E+00, 1.960064316E+01, 3.199154615E+00
        60, 7.397170258E+01, 9.899794769E+01, 1.019690514E+01
        61, 7.397552490E+01, 9.849659729E+01, 1.022148895E+01
        62, 7.397029114E+01, 9.949951172E+01, 1.018163776E+01
        63, 1.228385162E+01, 9.376095581E+01, 5.485877514E+00
        64, 1.246374893E+01, 9.406459045E+01, 5.721866608E+00
        65, 1.203205967E+01, 9.417263031E+01, 5.341170311E+00
        66, 1.190600109E+01, 9.376013184E+01, 5.146450043E+00
        67, 1.300243378E+01, 9.378682709E+01, 6.175676346E+00
        68, 1.242125225E+01, 9.343737030E+01, 5.532371998E+00
        69, 2.270182228E+01, 7.579393005E+01, 2.258800125E+01
        70, 2.244681168E+01, 7.540104675E+01, 2.228692245E+01
        71, 2.288381577E+01, 7.502466583E+01, 2.196552849E+01
        72, 2.312766457E+01, 7.542937469E+01, 2.227847862E+01
        73, 2.226355743E+01, 7.616897583E+01, 2.291432381E+01
        74, 2.200826263E+01, 7.577430725E+01, 2.261444092E+01
        75, 3.410034180E+01, 5.849943924E+01, 1.615293312E+01
