nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 3.495606995E+01, 4.731123352E+01, 5.170417023E+01
         2, 3.535411453E+01, 4.707278442E+01, 5.200698471E+01
         3, 3.563992310E+01, 4.747011948E+01, 5.003540421E+01
         4, 3.524551392E+01, 4.770341110E+01, 4.986570358E+01
         5, 3.466762924E+01, 4.691508484E+01, 5.382645416E+01
         6, 3.506446075E+01, 4.667885208E+01, 5.429188156E+01
         7, 3.160930443E+01, 2.745210266E+01, 4.674487305E+01
         8, 3.111643028E+01, 2.759178543E+01, 4.597105026E+01
         9, 3.107357597E+01, 2.705100060E+01, 4.151692200E+01
        10, 3.156549835E+01, 2.690967751E+01, 4.224681091E+01
        11, 3.165870476E+01, 2.799882317E+01, 5.255188751E+01
        12, 3.117296982E+01, 2.814127922E+01, 5.167470932E+01
        13, 9.249176788E+01, 3.000095367E+00, 1.981235123E+01
        14, 9.249198914E+01, 3.499648094E+00, 2.043259048E+01
        15, 9.199172211E+01, 3.499741077E+00, 2.136692429E+01
        16, 9.199157715E+01, 2.999976873E+00, 2.074638939E+01
        17, 9.299205017E+01, 3.000167608E+00, 1.896069145E+01
        18, 9.299232483E+01, 3.499335766E+00, 1.957731247E+01
        19, 6.747231293E+01, 2.499999762E+00, 7.562052727E+00
        20, 6.747270966E+01, 1.999999523E+00, 8.124136925E+00
        21, 6.797310638E+01, 1.999998093E+00, 8.169522285E+00
        22, 6.797270966E+01, 2.499997139E+00, 7.572584629E+00
        23, 6.697231293E+01, 2.000000954E+00, 8.117778778E+00
        24, 6.697191620E+01, 2.500002146E+00, 7.589476109E+00
        25, 8.495659828E+00, 9.950000000E+01, 1.804557037E+01
        26, 7.995901108E+00, 9.950000000E+01, 1.833109283E+01
        27, 7.995660305E+00, 9.900000000E+01, 1.835019302E+01
        28, 8.495419502E+00, 9.900000000E+01, 1.806169319E+01
        29, 8.495901108E+00, 1.000000000E+02, 1.804022408E+01
        30, 7.996142387E+00, 1.000000000E+02, 1.832475281E+01
        31, 1.893495178E+01, 8.984429932E+01, 7.515394211E+00
        32, 1.943647957E+01, 8.976316071E+01, 8.130882263E+00
        33, 1.944231224E+01, 9.024526215E+01, 8.734635353E+00
        34, 1.894674492E+01, 9.031108856E+01, 8.192907333E+00
        35, 1.890886116E+01, 8.939176941E+01, 6.858516693E+00
        36, 1.944300461E+01, 8.933671570E+01, 7.664316654E+00
        37, 3.512611008E+01, 2.799703026E+01, 4.670647812E+01
        38, 3.466859055E+01, 2.824031258E+01, 4.995641327E+01
        39, 3.464921951E+01, 2.775243378E+01, 4.737004089E+01
        40, 3.512247849E+01, 2.749797821E+01, 4.459329224E+01
        41, 3.469959259E+01, 2.872854233E+01, 5.241950226E+01
        42, 3.514715195E+01, 2.848383522E+01, 4.869921112E+01
        43, 4.795686722E+01, 2.500024557E+00, 1.141966724E+01
        44, 4.795725250E+01, 3.000011206E+00, 1.162577915E+01
        45, 4.745685577E+01, 3.000008583E+00, 1.167132950E+01
        46, 4.745647049E+01, 2.500022411E+00, 1.144796371E+01
        47, 4.845726395E+01, 2.500025749E+00, 1.138872433E+01
        48, 4.845764923E+01, 3.000013113E+00, 1.157886982E+01
        49, 3.455934143E+01, 4.754486847E+01, 5.122382355E+01
        50, 3.485013962E+01, 4.793389893E+01, 4.953640366E+01
        51, 3.426837158E+01, 4.715304184E+01, 5.313638306E+01
        52, 8.995418549E+00, 9.950000000E+01, 1.775401688E+01
        53, 8.995178223E+00, 9.900000000E+01, 1.776681137E+01
        54, 8.995659828E+00, 1.000000000E+02, 1.774978447E+01
        55, 3.416513824E+01, 4.777081299E+01, 5.061502075E+01
        56, 3.445697403E+01, 4.815956497E+01, 4.907485962E+01
        57, 3.387329483E+01, 4.738444901E+01, 5.230727386E+01
        58, 9.049159241E+01, 3.999182463E+00, 2.524966812E+01
        59, 9.049147034E+01, 4.498906136E+00, 2.582092857E+01
        60, 8.999604034E+01, 4.494879246E+00, 2.703432083E+01
        61, 8.999195862E+01, 3.998880148E+00, 2.650107765E+01
        62, 9.099152374E+01, 3.999328852E+00, 2.407665825E+01
        63, 9.099153900E+01, 4.498878479E+00, 2.465808487E+01
        64, 9.495178223E+00, 9.950000000E+01, 1.745888710E+01
        65, 9.494936943E+00, 9.900000000E+01, 1.746802139E+01
        66, 9.495418549E+00, 1.000000000E+02, 1.745587540E+01
        67, 2.999791384E+00, 9.399374390E+01, 2.202902222E+01
        68, 2.999871969E+00, 9.349270630E+01, 2.231750870E+01
        69, 3.499731779E+00, 9.349374390E+01, 2.219991112E+01
        70, 3.499585152E+00, 9.399477386E+01, 2.190458679E+01
        71, 2.499907970E+00, 9.399270630E+01, 2.213180542E+01
        72, 2.499947309E+00, 9.349166107E+01, 2.241403961E+01
        73, 3.377031326E+01, 4.800077438E+01, 4.986450577E+01
        74, 3.406595612E+01, 4.838341141E+01, 4.850006104E+01
        75, 3.347936630E+01, 4.761221313E+01, 5.136978149E+01
        76, 4.545490265E+01, 2.500005245E+00, 1.155666733E+01
        77, 4.545528412E+01, 2.999995232E+00, 1.184320068E+01
        78, 4.495489120E+01, 2.999991894E+00, 1.188644314E+01
        79, 4.495450974E+01, 2.499999523E+00, 1.158468437E+01
        80, 4.595529175E+01, 2.500010490E+00, 1.152920818E+01
        81, 4.595567322E+01, 2.999998808E+00, 1.180014515E+01
        82, 9.994936943E+00, 9.950000000E+01, 1.716278076E+01
        83, 9.994695663E+00, 9.900000000E+01, 1.716795731E+01
        84, 9.995178223E+00, 1.000000000E+02, 1.716108322E+01
        85, 1.277534008E+01, 2.484482193E+01, 1.862629890E+01
        86, 1.319447327E+01, 2.483600807E+01, 1.903089523E+01
        87, 1.307870960E+01, 2.532567596E+01, 2.001668167E+01
        88, 1.265949535E+01, 2.533436394E+01, 1.942230225E+01
        89, 1.331014061E+01, 2.434641457E+01, 1.818637657E+01
        90, 1.289103508E+01, 2.435534286E+01, 1.790743637E+01
        91, 4.507370377E+01, 6.771272278E+01, 1.182135201E+01
        92, 4.496335602E+01, 6.744007111E+01, 1.235948372E+01
        93, 4.543093109E+01, 6.723841095E+01, 1.112163258E+01
        94, 4.557643890E+01, 6.771640015E+01, 1.040856266E+01
        95, 4.486866760E+01, 6.802576447E+01, 1.215050697E+01
        96, 4.453226471E+01, 6.773493958E+01, 1.351438522E+01
        97, 3.337916183E+01, 4.822145081E+01, 4.906081390E+01
        98, 3.367471313E+01, 4.860057831E+01, 4.785781479E+01
        99, 3.308536911E+01, 4.784143448E+01, 5.034693146E+01
       100, 1.049469566E+01, 9.950000000E+01, 1.686839676E+01
       101, 1.049445438E+01, 9.900000000E+01, 1.686937904E+01
