nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 1.350000000E+01, 1.500000477E+00, 1.108008003E+01
         2, 1.350000000E+01, 1.000000477E+00, 1.099149990E+01
         3, 1.400000000E+01, 1.000000596E+00, 1.099116611E+01
         4, 1.400000095E+01, 1.500000238E+00, 1.106740189E+01
         5, 1.300000000E+01, 1.000000358E+00, 1.098390865E+01
         6, 1.300000000E+01, 1.500000477E+00, 1.108351040E+01
         7, 8.188481140E+01, 4.234904480E+01, 1.438214493E+01
         8, 8.173071289E+01, 4.281600952E+01, 1.443070889E+01
         9, 8.125550842E+01, 4.265532303E+01, 1.443864441E+01
        10, 8.140707397E+01, 4.218816376E+01, 1.438876915E+01
        11, 8.236072540E+01, 4.250599670E+01, 1.437701797E+01
        12, 8.220189667E+01, 4.297621155E+01, 1.442403698E+01
        13, 1.500000095E+01, 1.499999881E+00, 1.100971508E+01
        14, 1.500000095E+01, 1.000000954E+00, 1.096238899E+01
        15, 1.550000095E+01, 1.000001073E+00, 1.093152237E+01
        16, 1.550000191E+01, 1.499999642E+00, 1.096182632E+01
        17, 1.450000095E+01, 1.000000834E+00, 1.098179150E+01
        18, 1.450000095E+01, 1.500000119E+00, 1.104436111E+01
        19, 1.600000191E+01, 1.000001192E+00, 1.088877106E+01
        20, 1.600000191E+01, 1.499999285E+00, 1.090015888E+01
        21, 9.391764069E+01, 3.586383820E+01, 7.813987732E+00
        22, 9.376053619E+01, 3.634337997E+01, 7.365275860E+00
        23, 9.328709412E+01, 3.618297958E+01, 7.968519688E+00
        24, 9.344435883E+01, 3.570293427E+01, 8.250339508E+00
        25, 9.423671722E+01, 3.649610138E+01, 6.970530987E+00
        26, 9.439432526E+01, 3.601511765E+01, 7.533161640E+00
        27, 5.414899445E+01, 3.441617966E+01, 1.636841393E+01
        28, 5.380704498E+01, 3.479172897E+01, 1.635232544E+01
        29, 5.343405914E+01, 3.442735672E+01, 1.640921593E+01
        30, 5.379965591E+01, 3.402119064E+01, 1.642909813E+01
        31, 5.451165771E+01, 3.480239487E+01, 1.630996895E+01
        32, 5.416971970E+01, 3.517085648E+01, 1.629633713E+01
        33, 1.650000191E+01, 1.000001192E+00, 1.083353519E+01
        34, 1.650000191E+01, 1.499998927E+00, 1.082403660E+01
        35, 7.035601807E+01, 3.314443970E+01, 1.473438454E+01
        36, 7.083735657E+01, 3.330531693E+01, 1.468043518E+01
        37, 7.064573669E+01, 3.379265594E+01, 1.471854591E+01
        38, 7.016043091E+01, 3.363276291E+01, 1.477139282E+01
        39, 7.054088593E+01, 3.265769196E+01, 1.469733524E+01
        40, 7.101979828E+01, 3.282046509E+01, 1.464223289E+01
        41, 1.700000191E+01, 1.000001311E+00, 1.076570225E+01
        42, 1.700000381E+01, 1.499998569E+00, 1.073340988E+01
        43, 1.750000191E+01, 1.000001192E+00, 1.068561935E+01
        44, 1.750000381E+01, 1.499998212E+00, 1.062874985E+01
        45, 1.800000191E+01, 1.000001192E+00, 1.059355354E+01
        46, 1.800000381E+01, 1.499997854E+00, 1.051058006E+01
        47, 5.199332428E+01, 8.613240814E+01, 1.438680649E+01
        48, 5.193850708E+01, 8.667832947E+01, 1.436457825E+01
        49, 5.141370773E+01, 8.669754028E+01, 1.429288483E+01
        50, 5.146997833E+01, 8.614819336E+01, 1.431588650E+01
        51, 5.252134705E+01, 8.611373138E+01, 1.445864296E+01
        52, 5.246049881E+01, 8.666276550E+01, 1.443597507E+01
        53, 5.182261658E+01, 2.376784515E+01, 1.848708344E+01
        54, 5.134689713E+01, 2.394180107E+01, 1.848074722E+01
        55, 5.119328308E+01, 2.349785614E+01, 1.863864899E+01
        56, 5.167336655E+01, 2.332321167E+01, 1.864830399E+01
        57, 5.150882339E+01, 2.439110756E+01, 1.832836533E+01
        58, 5.198255539E+01, 2.421861839E+01, 1.833114052E+01
        59, 1.850000381E+01, 1.499997616E+00, 1.038016891E+01
        60, 1.850000191E+01, 1.000000954E+00, 1.049044895E+01
        61, 1.900000191E+01, 1.000000715E+00, 1.037765980E+01
        62, 1.900000381E+01, 1.499997377E+00, 1.023879147E+01
        63, 9.360395050E+01, 3.682146835E+01, 6.792224407E+00
        64, 9.313018036E+01, 3.666206741E+01, 7.644808769E+00
        65, 9.407911682E+01, 3.697708511E+01, 6.222430229E+00
        66, 1.950000000E+01, 1.000000238E+00, 1.025701046E+01
        67, 1.950000381E+01, 1.499997139E+00, 1.008925056E+01
        68, 2.000000000E+01, 9.999998212E-01, 1.013074780E+01
        69, 2.000000191E+01, 1.499997139E+00, 9.933878899E+00
        70, 9.344738007E+01, 3.729956818E+01, 6.081849098E+00
        71, 9.297897339E+01, 3.715065384E+01, 7.278647900E+00
        72, 9.392151642E+01, 3.745806885E+01, 5.253004074E+00
        73, 2.050000000E+01, 9.999992847E-01, 1.000159359E+01
        74, 2.050000191E+01, 1.499997258E+00, 9.775215149E+00
        75, 2.299999619E+01, 1.500000477E+00, 9.050050735E+00
        76, 2.299999809E+01, 9.999968410E-01, 9.406167030E+00
        77, 2.349999809E+01, 9.999966025E-01, 9.318253517E+00
        78, 2.349999428E+01, 1.500001550E+00, 8.941410065E+00
        79, 2.249999619E+01, 1.499999523E+00, 9.175297737E+00
        80, 2.249999809E+01, 9.999972582E-01, 9.508543015E+00
        81, 2.199999809E+01, 1.499998689E+00, 9.313888550E+00
        82, 2.199999809E+01, 9.999977350E-01, 9.622289658E+00
        83, 2.150000000E+01, 1.499997973E+00, 9.462303162E+00
        84, 2.150000000E+01, 9.999982715E-01, 9.744314194E+00
        85, 2.100000000E+01, 9.999987483E-01, 9.871870041E+00
        86, 2.100000000E+01, 1.499997497E+00, 9.617044449E+00
        87, 4.093220139E+01, 7.464078522E+01, 1.389233208E+01
        88, 4.093327713E+01, 7.414175415E+01, 1.395053864E+01
        89, 4.142903900E+01, 7.415350342E+01, 1.397708893E+01
        90, 4.142384720E+01, 7.465219879E+01, 1.392163849E+01
        91, 4.043758392E+01, 7.413407898E+01, 1.392522717E+01
        92, 4.044078445E+01, 7.463344574E+01, 1.386392307E+01
        93, 2.399999619E+01, 9.999966025E-01, 9.246890068E+00
        94, 2.399999237E+01, 1.500002742E+00, 8.851663589E+00
        95, 4.904802322E+01, 9.296808624E+01, 1.381579781E+01
        96, 4.903754044E+01, 9.347852325E+01, 1.380543137E+01
        97, 4.853554153E+01, 9.347962189E+01, 1.373659325E+01
        98, 4.854548264E+01, 9.296972656E+01, 1.374663162E+01
        99, 4.955067062E+01, 9.296638489E+01, 1.388474464E+01
       100, 4.953962326E+01, 9.347738647E+01, 1.387409687E+01
       101, 2.449999619E+01, 9.999968410E-01, 9.193771362E+00
       102, 2.449999237E+01, 1.500003934E+00, 8.783027649E+00
       103, 6.364184189E+01, 8.965364838E+01, 1.618430328E+01
       104, 6.371216965E+01, 8.915807343E+01, 1.623466301E+01
       105, 6.424234772E+01, 8.917863464E+01, 1.636467743E+01
       106, 6.416806030E+01, 8.965425110E+01, 1.631116104E+01
       107, 6.310840988E+01, 8.965928650E+01, 1.606416512E+01
       108, 6.318247223E+01, 8.914739990E+01, 1.611275864E+01
       109, 2.499999046E+01, 1.500005245E+00, 8.737785339E+00
       110, 2.499999619E+01, 9.999973774E-01, 9.161493301E+00
       111, 2.549999809E+01, 9.999980330E-01, 9.152342796E+00
       112, 2.549956894E+01, 1.509498239E+00, 8.708645821E+00
       113, 2.146883202E+01, 8.602901459E+01, 9.569979668E+00
       114, 2.097541428E+01, 8.601944733E+01, 9.589008331E+00
       115, 2.096654129E+01, 8.553189087E+01, 9.474030495E+00
       116, 2.146279716E+01, 8.553844452E+01, 9.451179504E+00
       117, 2.147484779E+01, 8.651987457E+01, 9.680789948E+00
       118, 2.097889137E+01, 8.651674652E+01, 9.699006081E+00
       119, 2.599751472E+01, 1.510247946E+00, 8.712924004E+00
       120, 2.599999809E+01, 9.999988079E-01, 9.166124344E+00
       121, 2.649999809E+01, 9.999998212E-01, 9.203275681E+00
       122, 2.649726868E+01, 1.507017493E+00, 8.748068810E+00
       123, 9.900023651E+01, 1.974735022E+00, 9.914080620E+00
       124, 9.900012970E+01, 2.466596127E+00, 9.890409470E+00
       125, 9.850003052E+01, 2.469655514E+00, 9.894227982E+00
       126, 9.850001526E+01, 1.978307724E+00, 9.916938782E+00
       127, 9.950001526E+01, 2.468595505E+00, 9.887823105E+00
       128, 9.950000763E+01, 1.976142168E+00, 9.912122726E+00
       129, 2.700000000E+01, 1.000001073E+00, 9.265252113E+00
       130, 2.699686432E+01, 1.505247831E+00, 8.809356689E+00
       131, 6.257657242E+01, 8.966480255E+01, 1.595074558E+01
       132, 6.264752197E+01, 8.914413452E+01, 1.599625301E+01
       133, 2.750000000E+01, 1.000002265E+00, 9.352375031E+00
       134, 2.749999619E+01, 1.500006676E+00, 8.901502609E+00
       135, 5.233234406E+01, 1.401387978E+01, 2.525251007E+01
       136, 5.292338562E+01, 1.402589703E+01, 2.458302116E+01
       137, 5.279441071E+01, 1.450795460E+01, 2.411825943E+01
       138, 5.219563675E+01, 1.449587440E+01, 2.467748642E+01
       139, 5.246233368E+01, 1.353144836E+01, 2.585259628E+01
       140, 5.304698944E+01, 1.354336834E+01, 2.505048370E+01
       141, 2.800000000E+01, 1.500005722E+00, 9.014397621E+00
       142, 2.800000191E+01, 1.000003457E+00, 9.464116096E+00
       143, 2.850000191E+01, 1.000004649E+00, 9.599623680E+00
       144, 2.850000191E+01, 1.500004172E+00, 9.152965546E+00
       145, 9.900007629E+01, 2.958638191E+00, 9.865201950E+00
       146, 9.850004578E+01, 2.961483240E+00, 9.870126724E+00
       147, 9.950002289E+01, 2.960927010E+00, 9.861989975E+00
       148, 2.900000381E+01, 1.000005603E+00, 9.758711815E+00
       149, 2.900000572E+01, 1.500002146E+00, 9.316787720E+00
       150, 6.204067612E+01, 8.967494965E+01, 1.584222603E+01
       151, 6.211843872E+01, 8.914537811E+01, 1.588684368E+01
       152, 2.950000381E+01, 1.000006318E+00, 9.940127373E+00
       153, 2.950000954E+01, 1.499999642E+00, 9.504474640E+00
       154, 4.989582443E+01, 8.620556641E+01, 1.410282421E+01
       155, 4.984572983E+01, 8.674840546E+01, 1.407929993E+01
       156, 4.932743835E+01, 8.676197815E+01, 1.400874615E+01
       157, 4.937377167E+01, 8.622188568E+01, 1.403208256E+01
       158, 5.036993027E+01, 8.672866058E+01, 1.415068054E+01
       159, 5.042165756E+01, 8.618418121E+01, 1.417405224E+01
       160, 3.000000572E+01, 1.000006795E+00, 1.014283752E+01
       161, 3.000001144E+01, 1.499997139E+00, 9.714785576E+00
       162, 9.900006104E+01, 3.450772762E+00, 9.838294029E+00
       163, 9.850006104E+01, 3.453526020E+00, 9.844244003E+00
       164, 9.950003052E+01, 3.453197241E+00, 9.834503174E+00
       165, 8.512191772E+01, 3.563744736E+01, 1.320059490E+01
       166, 8.464810944E+01, 3.547995758E+01, 1.323126602E+01
       167, 8.480430603E+01, 3.499934006E+01, 1.311717319E+01
       168, 8.527880859E+01, 3.515281677E+01, 1.307525349E+01
       169, 8.496715546E+01, 3.611150360E+01, 1.332051373E+01
       170, 8.449403381E+01, 3.595296860E+01, 1.334162617E+01
       171, 3.781745911E+01, 7.166507721E+01, 1.418143845E+01
       172, 3.778163147E+01, 7.117211914E+01, 1.423892403E+01
       173, 3.830737686E+01, 7.115668488E+01, 1.423496056E+01
       174, 3.834109879E+01, 7.165141296E+01, 1.417895317E+01
       175, 3.729836273E+01, 7.168852997E+01, 1.418777752E+01
       176, 3.725664902E+01, 7.119013214E+01, 1.424773216E+01
       177, 6.151487732E+01, 8.968193817E+01, 1.574088955E+01
       178, 6.158622360E+01, 8.915046692E+01, 1.578167629E+01
       179, 3.050001526E+01, 1.499994516E+00, 9.946027756E+00
       180, 3.050000572E+01, 1.000006795E+00, 1.036571503E+01
       181, 3.100000572E+01, 1.000006318E+00, 1.060726070E+01
       182, 3.100001717E+01, 1.499991894E+00, 1.019661903E+01
       183, 9.900006104E+01, 3.944253206E+00, 9.809418678E+00
       184, 9.850007629E+01, 3.945662022E+00, 9.816541672E+00
       185, 9.950003052E+01, 3.945436716E+00, 9.805009842E+00
       186, 7.789855194E+01, 3.685427856E+01, 1.412148666E+01
