nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 6.500292301E+00, 6.300022125E+01, 2.591199875E+01
         2, 6.500250340E+00, 6.250016785E+01, 2.591267967E+01
         3, 7.000343800E+00, 6.250024033E+01, 2.591421318E+01
         4, 7.000392437E+00, 6.300030136E+01, 2.591328812E+01
         5, 6.000215530E+00, 6.300016022E+01, 2.591060638E+01
         6, 6.000179768E+00, 6.250011826E+01, 2.591104698E+01
         7, 1.800008392E+01, 2.499863625E+00, 1.249568176E+01
         8, 1.800004387E+01, 1.999922276E+00, 1.269156170E+01
         9, 1.850002670E+01, 1.999942541E+00, 1.236634350E+01
        10, 1.850005341E+01, 2.499894381E+00, 1.214671993E+01
        11, 1.750010490E+01, 2.499844790E+00, 1.284403229E+01
        12, 1.750005722E+01, 1.999909163E+00, 1.301513100E+01
        13, 1.700011635E+01, 2.499836922E+00, 1.318985939E+01
        14, 1.700006485E+01, 1.999903083E+00, 1.333449459E+01
        15, 1.650012016E+01, 2.499839067E+00, 1.353112125E+01
        16, 1.650006676E+01, 1.999903083E+00, 1.364651680E+01
        17, 3.000128508E+00, 3.900007248E+01, 2.530588531E+01
        18, 2.500077963E+00, 3.900004196E+01, 2.536127472E+01
        19, 2.500047445E+00, 3.850001526E+01, 2.555799294E+01
        20, 3.000082016E+00, 3.850003433E+01, 2.552344513E+01
        21, 2.500102758E+00, 3.950006104E+01, 2.517705917E+01
        22, 3.000165701E+00, 3.950010681E+01, 2.510211182E+01
        23, 5.000005364E-01, 3.150000000E+01, 2.753087997E+01
        24, 5.000011921E-01, 3.100000000E+01, 2.759919167E+01
        25, 1.000003815E+00, 3.100000191E+01, 2.761228371E+01
        26, 1.000001192E+00, 3.150000191E+01, 2.754505730E+01
        27, 0.000000000E+00, 3.150000000E+01, 2.752610397E+01
        28, 0.000000000E+00, 3.100000000E+01, 2.759467316E+01
        29, 6.370568085E+01, 5.671551132E+01, 1.271683693E+01
        30, 6.323304749E+01, 5.655793381E+01, 1.300544167E+01
        31, 6.337162399E+01, 5.609228897E+01, 1.286235714E+01
        32, 6.384293747E+01, 5.625033188E+01, 1.257888412E+01
        33, 6.356629944E+01, 5.718137741E+01, 1.286704254E+01
        34, 6.309273911E+01, 5.702426910E+01, 1.316046333E+01
        35, 6.500311375E+00, 6.350025177E+01, 2.591151428E+01
        36, 7.000410557E+00, 6.350033569E+01, 2.591263199E+01
        37, 6.000234127E+00, 6.350018692E+01, 2.591034508E+01
        38, 2.149913979E+01, 4.500815392E+00, 8.890538216E+00
        39, 2.199892998E+01, 4.501098633E+00, 8.527970314E+00
        40, 2.199497604E+01, 4.997417927E+00, 8.207104683E+00
        41, 2.149890137E+01, 5.001003742E+00, 8.585927010E+00
        42, 2.149934769E+01, 4.000644684E+00, 9.203639984E+00
        43, 2.199920464E+01, 4.000844955E+00, 8.862463951E+00
        44, 4.999997616E-01, 3.200000000E+01, 2.745329857E+01
        45, 9.999981523E-01, 3.200000000E+01, 2.746839905E+01
        46, 0.000000000E+00, 3.200000000E+01, 2.744838333E+01
        47, 6.500308514E+00, 6.400026703E+01, 2.591106224E+01
        48, 7.000400543E+00, 6.400035095E+01, 2.591199875E+01
        49, 6.000236034E+00, 6.400019836E+01, 2.591001129E+01
        50, 2.500018120E+00, 6.350001144E+01, 2.590166092E+01
        51, 2.500014067E+00, 6.300000763E+01, 2.590070343E+01
        52, 3.000023365E+00, 6.300001144E+01, 2.590190887E+01
        53, 3.000029325E+00, 6.350001907E+01, 2.590260315E+01
        54, 2.000010252E+00, 6.350000763E+01, 2.590082550E+01
        55, 2.000007629E+00, 6.300000381E+01, 2.589977646E+01
        56, 4.999988973E-01, 3.250000000E+01, 2.736547852E+01
        57, 9.999949336E-01, 3.250000000E+01, 2.738157845E+01
        58, 0.000000000E+00, 3.250000000E+01, 2.736017036E+01
        59, 6.500286102E+00, 6.450025940E+01, 2.591044235E+01
        60, 7.000365734E+00, 6.450033569E+01, 2.591135406E+01
        61, 6.000222206E+00, 6.450019836E+01, 2.590944481E+01
        62, 6.392655945E+01, 6.611648560E+01, 1.515231419E+01
        63, 6.377556229E+01, 6.659098053E+01, 1.559576607E+01
