nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 4.750004959E+01, 6.499920368E+00, 1.317013264E+01
         2, 4.800001907E+01, 6.499948978E+00, 1.365303707E+01
         3, 4.800003433E+01, 6.999923229E+00, 1.353375626E+01
         4, 4.750007248E+01, 6.999887943E+00, 1.304636574E+01
         5, 4.750003052E+01, 5.999944210E+00, 1.331133270E+01
         6, 4.800000763E+01, 5.999967098E+00, 1.378943825E+01
         7, 7.050000763E+01, 9.999844432E-01, 3.425840759E+01
         8, 7.100000763E+01, 9.999866486E-01, 3.435203934E+01
         9, 7.100001526E+01, 1.499967217E+00, 3.447555161E+01
        10, 7.050002289E+01, 1.499962687E+00, 3.435511017E+01
        11, 7.050000000E+01, 4.999959171E-01, 3.421218109E+01
        12, 7.100000000E+01, 4.999966025E-01, 3.428176117E+01
        13, 8.182035065E+01, 6.727887726E+01, 1.684033012E+01
        14, 8.231559753E+01, 6.728179932E+01, 1.683672142E+01
        15, 8.231543732E+01, 6.778514862E+01, 1.679887772E+01
        16, 8.181647491E+01, 6.778029633E+01, 1.680263329E+01
        17, 8.232374573E+01, 6.678340149E+01, 1.687323761E+01
        18, 8.182634735E+01, 6.677706909E+01, 1.687705040E+01
        19, 8.843951416E+01, 6.241952515E+01, 1.721488190E+01
        20, 8.894504547E+01, 6.242953110E+01, 1.721880531E+01
        21, 8.894152069E+01, 6.293035126E+01, 1.718000031E+01
        22, 8.843550873E+01, 6.292020416E+01, 1.717647934E+01
        23, 8.844416809E+01, 6.191918564E+01, 1.725337982E+01
        24, 8.894928741E+01, 6.192886734E+01, 1.725778198E+01
        25, 5.134115982E+01, 8.021597290E+01, 3.573012829E+00
        26, 5.158378220E+01, 8.054113770E+01, 3.809197903E+00
        27, 5.105939484E+01, 8.071372223E+01, 3.784913301E+00
        28, 5.095644760E+01, 8.019487000E+01, 3.481798649E+00
        29, 5.152714920E+01, 7.988742828E+01, 3.416152239E+00
        30, 5.189805603E+01, 8.011546326E+01, 3.657753944E+00
        31, 7.000000763E+01, 9.999834299E-01, 3.411789322E+01
        32, 7.000002289E+01, 1.499960780E+00, 3.418961716E+01
        33, 7.000000000E+01, 4.999955893E-01, 3.409396744E+01
        34, 3.250000000E+01, 4.999999404E-01, 9.837943077E+00
        35, 3.300000000E+01, 4.999999404E-01, 9.734408379E+00
        36, 3.300000000E+01, 9.999997616E-01, 9.186212540E+00
        37, 3.250000000E+01, 9.999997020E-01, 9.296791077E+00
        38, 3.250000000E+01, 0.000000000E+00, 1.013888836E+01
        39, 3.300000000E+01, 0.000000000E+00, 1.003884029E+01
        40, 2.100000381E+01, 3.499995947E+00, 1.521813583E+01
        41, 2.150000381E+01, 3.499995708E+00, 1.478814220E+01
        42, 2.150000381E+01, 3.999994040E+00, 1.467608929E+01
        43, 2.100000572E+01, 3.999994278E+00, 1.512898827E+01
        44, 2.100000191E+01, 2.999997139E+00, 1.532325459E+01
        45, 2.150000191E+01, 2.999997139E+00, 1.491576481E+01
        46, 4.700007248E+01, 6.499899387E+00, 1.268916321E+01
        47, 4.700009918E+01, 6.999863148E+00, 1.256041145E+01
        48, 4.700004959E+01, 5.999927044E+00, 1.283557892E+01
        49, 8.140764618E+01, 7.343966675E+01, 1.631507874E+01
        50, 8.142233276E+01, 7.395581055E+01, 1.626639366E+01
        51, 8.092062378E+01, 7.396066284E+01, 1.626232529E+01
        52, 8.090847015E+01, 7.344338226E+01, 1.631246185E+01
        53, 8.190904236E+01, 7.343409729E+01, 1.631837082E+01
        54, 8.192228699E+01, 7.394893646E+01, 1.627097511E+01
        55, 8.844933319E+01, 6.141930771E+01, 1.729216576E+01
        56, 8.895417786E+01, 6.142845535E+01, 1.729684639E+01
        57, 8.517479706E+01, 1.148019791E+01, 2.513368797E+01
        58, 8.519203186E+01, 1.098120403E+01, 2.501446152E+01
        59, 8.572592926E+01, 1.098604393E+01, 2.436274910E+01
        60, 8.570152283E+01, 1.148535633E+01, 2.450507164E+01
        61, 8.464519501E+01, 1.147682858E+01, 2.581583405E+01
        62, 8.466161346E+01, 1.097728443E+01, 2.571463203E+01
        63, 3.200000000E+01, 4.999999106E-01, 9.965436935E+00
