nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 3.906940460E+01, 3.402997208E+01, 6.749558449E+00
         2, 3.898832321E+01, 3.458327103E+01, 7.070114613E+00
         3, 3.849907303E+01, 3.451593781E+01, 7.003084183E+00
         4, 3.857730865E+01, 3.399261093E+01, 6.726743221E+00
         5, 3.956380081E+01, 3.408887100E+01, 6.802249908E+00
         6, 3.944374084E+01, 3.464505386E+01, 7.148118973E+00
         7, 3.692397690E+01, 4.274390030E+01, 1.049267769E+01
         8, 3.688520813E+01, 4.229896164E+01, 1.028851318E+01
         9, 3.738288879E+01, 4.222356796E+01, 1.043611431E+01
        10, 3.742975616E+01, 4.266762924E+01, 1.064711285E+01
        11, 3.641065979E+01, 4.281282425E+01, 1.033452415E+01
        12, 3.637929535E+01, 4.236582184E+01, 1.013853455E+01
        13, 6.640156555E+01, 1.252428532E+01, 2.663587189E+01
        14, 6.599202728E+01, 1.238444519E+01, 2.738216782E+01
        15, 6.603782654E+01, 1.186720085E+01, 2.686441994E+01
        16, 6.658580017E+01, 1.207537365E+01, 2.591420746E+01
        17, 6.617881775E+01, 1.297697067E+01, 2.742701340E+01
        18, 6.574736023E+01, 1.275968838E+01, 2.821910858E+01
        19, 5.450000381E+01, 9.400000000E+01, 3.607095778E-02
        20, 5.400000381E+01, 9.400000000E+01, 3.409504145E-02
        21, 5.400000381E+01, 9.350000000E+01, 3.369598091E-02
        22, 5.450000381E+01, 9.350000000E+01, 3.563604131E-02
        23, 5.450000381E+01, 9.450000000E+01, 3.647885472E-02
        24, 5.400000381E+01, 9.450000000E+01, 3.446922451E-02
        25, 5.563013840E+01, 5.002130866E-01, 1.836157799E+01
        26, 5.562999725E+01, 1.000213027E+00, 1.851881599E+01
        27, 5.513176727E+01, 1.000433207E+00, 1.862514687E+01
        28, 5.513155746E+01, 5.000331402E-01, 1.849035263E+01
        29, 5.612871933E+01, 5.003979206E-01, 1.820778084E+01
        30, 5.612940598E+01, 1.005814552E+00, 1.839023209E+01
        31, 5.995001984E+01, 2.577539253E+01, 3.187067032E+01
        32, 5.960250473E+01, 2.615953255E+01, 3.179793167E+01
        33, 5.915637589E+01, 2.594018173E+01, 3.164907074E+01
        34, 5.945952606E+01, 2.555873489E+01, 3.172689438E+01
        35, 6.006313705E+01, 2.644840050E+01, 3.196735001E+01
        36, 6.041091537E+01, 2.603493309E+01, 3.202021408E+01
        37, 7.646068573E+01, 5.499199677E+01, 3.247072601E+01
        38, 7.685379028E+01, 5.526136398E+01, 3.240323257E+01
        39, 7.647864532E+01, 5.558291626E+01, 3.241952515E+01
        40, 7.608519745E+01, 5.532204819E+01, 3.248249817E+01
        41, 7.683361053E+01, 5.466716385E+01, 3.245667267E+01
        42, 7.722937012E+01, 5.494012451E+01, 3.238578033E+01
        43, 4.744441605E+01, 3.481674194E+01, 1.442130280E+01
        44, 4.705389023E+01, 3.445003891E+01, 1.349035740E+01
        45, 4.730599594E+01, 3.405858231E+01, 1.390913963E+01
        46, 4.774958420E+01, 3.446916962E+01, 1.500414658E+01
        47, 4.710860062E+01, 3.517318344E+01, 1.385829926E+01
        48, 4.680582809E+01, 3.479258728E+01, 1.310657501E+01
        49, 1.809420586E+01, 1.040757370E+01, 7.683538437E+00
        50, 1.865114021E+01, 1.073134613E+01, 7.523547173E+00
        51, 1.815736008E+01, 1.091201496E+01, 7.583442211E+00
        52, 1.791993141E+01, 1.059729385E+01, 7.684125900E+00
        53, 1.872958755E+01, 1.026108837E+01, 0.000000000E+00
        54, 1.913709641E+01, 1.054435444E+01, 0.000000000E+00
        55, 5.350000000E+01, 9.400000000E+01, 3.225550056E-02
        56, 5.350000000E+01, 9.350000000E+01, 3.188875318E-02
        57, 5.350000000E+01, 9.450000000E+01, 3.259932250E-02
        58, 7.569884491E+01, 5.505680084E+01, 3.254491043E+01
        59, 7.606859589E+01, 5.472004318E+01, 3.253797913E+01
        60, 7.644553375E+01, 5.439273453E+01, 3.252675629E+01
        61, 5.079844666E+01, 3.456730270E+01, 2.139042091E+01
        62, 5.119980621E+01, 3.486811066E+01, 2.197110367E+01
        63, 5.090948486E+01, 3.542349625E+01, 2.126015472E+01
        64, 5.051041794E+01, 3.506822968E+01, 2.064472008E+01
        65, 5.109698486E+01, 3.411255646E+01, 2.218848991E+01
        66, 5.149211121E+01, 3.439576340E+01, 2.271932793E+01
        67, 9.600002289E+01, 6.022231102E+00, 8.425781250E+00
        68, 9.550002289E+01, 6.021962166E+00, 8.458376884E+00
        69, 9.549993896E+01, 5.517988682E+00, 8.598531723E+00
        70, 9.599998474E+01, 5.518239498E+00, 8.567096710E+00
        71, 9.599981689E+01, 6.522323608E+00, 8.283983231E+00
        72, 9.549974823E+01, 6.521982193E+00, 8.318214417E+00
        73, 5.662730408E+01, 5.005744100E-01, 1.802811813E+01
        74, 5.662771988E+01, 1.000574231E+00, 1.823494911E+01
        75, 5.712588501E+01, 5.007147789E-01, 1.782256699E+01
        76, 5.712719727E+01, 1.000155807E+00, 1.805643654E+01
        77, 6.298582840E+01, 2.602597809E+01, 3.257555389E+01
        78, 6.252564621E+01, 2.562746811E+01, 3.241043472E+01
        79, 6.292283630E+01, 2.529460907E+01, 3.239871597E+01
        80, 6.339583206E+01, 2.570980453E+01, 3.256187439E+01
        81, 6.257141113E+01, 2.634581566E+01, 3.257622147E+01
        82, 6.211780548E+01, 2.596681786E+01, 3.240700531E+01
        83, 3.559132385E+01, 6.991854858E+01, 3.332039108E-03
        84, 3.610140610E+01, 6.985012054E+01, 3.428535070E-03
        85, 3.614175415E+01, 7.030049133E+01, 3.504630877E-03
        86, 3.562261963E+01, 7.037107849E+01, 3.404003568E-03
        87, 3.606748199E+01, 6.939866638E+01, 3.355166875E-03
        88, 3.556898499E+01, 6.946445465E+01, 3.263978753E-03
        89, 5.762444687E+01, 5.007998943E-01, 1.759074593E+01
        90, 5.762544250E+01, 1.000798821E+00, 1.785157204E+01
        91, 1.782303429E+01, 1.017850113E+01, 7.760186195E+00
        92, 1.741352844E+01, 1.054238796E+01, 7.777980804E+00
        93, 1.832207680E+01, 9.977822304E+00, 0.000000000E+00
        94, 6.165858459E+01, 5.607460785E+01, 3.101496696E+01
        95, 6.132518387E+01, 5.644324493E+01, 3.086012459E+01
        96, 6.096633911E+01, 5.615962219E+01, 3.074065781E+01
        97, 6.130078506E+01, 5.578646469E+01, 3.090389633E+01
        98, 6.169226456E+01, 5.672771454E+01, 3.097357941E+01
        99, 6.202505493E+01, 5.635506821E+01, 3.112186623E+01
       100, 8.819430542E+01, 8.990027618E+01, 4.735614395E+01
       101, 8.823618317E+01, 8.944424438E+01, 4.898065567E+01
       102, 8.874753571E+01, 8.945166016E+01, 4.906431580E+01
       103, 8.871472168E+01, 8.991816711E+01, 4.748963928E+01
       104, 8.766864014E+01, 8.988226318E+01, 4.708396912E+01
       105, 8.772070313E+01, 8.942951202E+01, 4.875537109E+01
       106, 5.812298965E+01, 5.008541346E-01, 1.733181763E+01
       107, 5.812486649E+01, 9.997969270E-01, 1.761960983E+01
       108, 7.465692902E+01, 6.905517578E+01, 3.328075790E+01
       109, 7.490567780E+01, 6.864259338E+01, 3.323952103E+01
       110, 7.523384857E+01, 6.879652405E+01, 3.327022171E+01
       111, 7.512544250E+01, 6.917181396E+01, 3.330830765E+01
       112, 7.424416351E+01, 6.887912750E+01, 3.326185226E+01
       113, 7.447756958E+01, 6.846101379E+01, 3.320795441E+01
       114, 5.862152863E+01, 5.008596778E-01, 1.704636383E+01
       115, 5.862282181E+01, 1.000857830E+00, 1.736447525E+01
       116, 1.707747459E+01, 1.017507553E+01, 7.914414406E+00
       117, 1.745311546E+01, 9.923132896E+00, 7.882959366E+00
       118, 1.791456604E+01, 9.694556236E+00, 0.000000000E+00
       119, 6.242525101E+01, 9.015730286E+01, 8.342426270E-02
       120, 6.243109131E+01, 9.065202332E+01, 8.592298627E-02
       121, 6.193755722E+01, 9.062912750E+01, 8.024460077E-02
       122, 6.193579483E+01, 9.013105011E+01, 7.800741494E-02
       123, 6.291658783E+01, 9.018180084E+01, 8.932121098E-02
       124, 6.293033218E+01, 9.067044067E+01, 9.215245396E-02
       125, 5.912215805E+01, 9.995735884E-01, 1.708235168E+01
       126, 5.912004471E+01, 5.008229017E-01, 1.673709106E+01
       127, 5.961854935E+01, 5.007599592E-01, 1.640451813E+01
       128, 5.961981583E+01, 1.000758171E+00, 1.677949715E+01
