nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 6.850000000E+01, 8.500000000E+00, 1.007540226E+01
         2, 6.900000000E+01, 8.500000000E+00, 1.007108021E+01
         3, 6.900000000E+01, 9.000000000E+00, 1.007955170E+01
         4, 6.850000000E+01, 9.000000000E+00, 1.008483887E+01
         5, 6.850000000E+01, 8.000000000E+00, 1.006701183E+01
         6, 6.900000000E+01, 8.000000000E+00, 1.006341267E+01
         7, 2.476026154E+01, 8.995107269E+01, 1.116740990E+01
         8, 2.524007034E+01, 8.994829559E+01, 1.116241932E+01
         9, 2.527198982E+01, 9.045001221E+01, 1.116772366E+01
        10, 2.480084991E+01, 9.045890808E+01, 1.117339325E+01
        11, 2.472460556E+01, 8.944969177E+01, 1.115725708E+01
        12, 2.521312523E+01, 8.944968414E+01, 1.115303707E+01
        13, 7.297302246E+01, 3.667423248E+01, 3.803914547E+00
        14, 7.294603729E+01, 3.618381119E+01, 3.905139923E+00
        15, 7.345878601E+01, 3.617889023E+01, 4.221333027E+00
        16, 7.347308350E+01, 3.668109131E+01, 4.108451366E+00
        17, 7.247406006E+01, 3.667412567E+01, 3.505270004E+00
        18, 7.243661499E+01, 3.618770981E+01, 3.585852385E+00
        19, 5.480451202E+01, 4.674916077E+01, 1.812960625E+01
        20, 5.528197098E+01, 4.677366257E+01, 1.854479980E+01
        21, 5.526029968E+01, 4.730253983E+01, 1.791354179E+01
        22, 5.478230286E+01, 4.727621841E+01, 1.757834816E+01
        23, 5.482659149E+01, 4.622542953E+01, 1.873079300E+01
        24, 5.530549622E+01, 4.624519730E+01, 1.924985504E+01
        25, 3.557448959E+01, 3.344678497E+01, 2.180782318E+01
        26, 3.608547211E+01, 3.345330048E+01, 2.200672913E+01
        27, 3.618255234E+01, 3.395117188E+01, 2.232846832E+01
        28, 3.569257355E+01, 3.394482803E+01, 2.212595940E+01
        29, 3.599379349E+01, 3.295589066E+01, 2.179674339E+01
        30, 3.546960449E+01, 3.295397949E+01, 2.160201073E+01
        31, 1.500693321E+00, 1.300070000E+01, 1.075427914E+01
        32, 1.500346661E+00, 1.250035000E+01, 1.072597790E+01
        33, 2.001554966E+00, 1.250157928E+01, 1.072672653E+01
        34, 2.002763271E+00, 1.300280952E+01, 1.075504017E+01
        35, 1.000000000E+00, 1.300000000E+01, 1.075369835E+01
        36, 1.000000000E+00, 1.250000000E+01, 1.072545433E+01
        37, 8.163557434E+01, 8.031411743E+01, 1.174006844E+01
        38, 8.113182068E+01, 8.031425476E+01, 1.163686275E+01
        39, 8.110705566E+01, 7.982488251E+01, 1.148563480E+01
        40, 8.161318970E+01, 7.982325745E+01, 1.159552479E+01
        41, 8.164795685E+01, 8.080959320E+01, 1.188716698E+01
        42, 8.114542389E+01, 8.080937958E+01, 1.179308701E+01
        43, 8.201233673E+01, 3.803903198E+01, 9.091242790E+00
        44, 8.149446106E+01, 3.802919388E+01, 8.876658440E+00
        45, 8.149630737E+01, 3.753340530E+01, 8.772678375E+00
        46, 8.201281738E+01, 3.754067993E+01, 8.984549522E+00
        47, 8.149758148E+01, 3.852405167E+01, 9.003120422E+00
        48, 8.201767731E+01, 3.853866577E+01, 9.218586922E+00
        49, 3.800000000E+01, 1.350000000E+01, 9.427435875E+00
        50, 3.800000000E+01, 1.300000000E+01, 9.452035904E+00
        51, 3.850000000E+01, 1.300000000E+01, 9.362190247E+00
        52, 3.849588776E+01, 1.350475502E+01, 9.330207825E+00
        53, 3.750000000E+01, 1.300000000E+01, 9.541770935E+00
        54, 3.750591278E+01, 1.349728394E+01, 9.523453712E+00
        55, 1.000000000E+00, 5.550000000E+01, 1.642259216E+01
        56, 1.000000000E+00, 5.500000000E+01, 1.623777771E+01
        57, 1.500000000E+00, 5.500000000E+01, 1.622966385E+01
        58, 1.500000000E+00, 5.550000000E+01, 1.641396332E+01
        59, 5.000000000E-01, 5.550000000E+01, 1.642779541E+01
        60, 5.000000000E-01, 5.500000000E+01, 1.624270439E+01
        61, 2.200000000E+01, 1.400000000E+01, 1.097204399E+01
        62, 2.200000000E+01, 1.350000000E+01, 1.092648983E+01
        63, 2.250000000E+01, 1.350000000E+01, 1.092535591E+01
        64, 2.250000000E+01, 1.400000000E+01, 1.097215176E+01
        65, 2.150000000E+01, 1.350000000E+01, 1.092630959E+01
        66, 2.150000000E+01, 1.400000000E+01, 1.097094345E+01
        67, 3.800000000E+01, 1.250000000E+01, 9.477251053E+00
        68, 3.850000000E+01, 1.250000000E+01, 9.394411087E+00
        69, 3.750000000E+01, 1.250000000E+01, 9.560156822E+00
