nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 7.508069992E+00, 4.466177750E+01, 1.834435463E+01
         2, 7.000723362E+00, 4.465821838E+01, 1.814209557E+01
         3, 7.004048347E+00, 4.416265106E+01, 1.747162247E+01
         4, 7.509104729E+00, 4.416500092E+01, 1.765865707E+01
         5, 7.508484840E+00, 4.515983582E+01, 1.905640984E+01
         6, 6.997456551E+00, 4.515387344E+01, 1.883383560E+01
         7, 7.038011551E+00, 8.456232452E+01, 1.456939793E+01
         8, 6.531664371E+00, 8.455771637E+01, 1.466359711E+01
         9, 6.533140182E+00, 8.406052399E+01, 1.481888485E+01
        10, 7.039836884E+00, 8.406545258E+01, 1.472154999E+01
        11, 6.530082226E+00, 8.505478668E+01, 1.451665115E+01
        12, 7.036067963E+00, 8.505905914E+01, 1.442546558E+01
        13, 9.804837799E+01, 6.808299255E+01, 1.394684911E+00
        14, 9.852706909E+01, 6.806989288E+01, 1.376533628E+00
        15, 9.852196503E+01, 6.856615448E+01, 1.476210356E+00
        16, 9.804196167E+01, 6.857895660E+01, 1.494387269E+00
        17, 9.853282928E+01, 6.757244873E+01, 1.279118061E+00
        18, 9.805232239E+01, 6.758676910E+01, 1.297467470E+00
        19, 7.507165432E+00, 4.565972137E+01, 1.979529572E+01
        20, 6.999703407E+00, 4.565406418E+01, 1.955620956E+01
        21, 6.427891541E+01, 7.548185730E+01, 3.378312302E+01
        22, 6.410044861E+01, 7.596501923E+01, 3.167517853E+01
        23, 6.359571838E+01, 7.581340027E+01, 3.195209885E+01
        24, 6.377012253E+01, 7.550682068E+01, 3.334268951E+01
        25, 6.482457733E+01, 7.567567444E+01, 3.315030289E+01
        26, 6.456527710E+01, 7.614756775E+01, 3.108944893E+01
        27, 7.510076523E+00, 4.616111755E+01, 2.056282043E+01
        28, 7.002694130E+00, 4.615578461E+01, 2.030135918E+01
        29, 8.646479034E+01, 9.154122162E+01, 7.284538746E+00
        30, 8.596299744E+01, 9.154246521E+01, 7.383803368E+00
        31, 8.595738983E+01, 9.105002594E+01, 7.354120731E+00
        32, 8.645986938E+01, 9.104872894E+01, 7.252771854E+00
        33, 8.646965790E+01, 9.203475952E+01, 7.314384937E+00
        34, 8.596833801E+01, 9.203588867E+01, 7.411782265E+00
        35, 8.696700287E+01, 9.153996277E+01, 7.188805580E+00
        36, 8.696295166E+01, 9.104752350E+01, 7.155002594E+00
        37, 8.697126770E+01, 9.203356934E+01, 7.220458031E+00
        38, 6.490122986E+01, 4.639669418E+01, 3.979452896E+01
        39, 6.441439819E+01, 4.633416367E+01, 3.861336517E+01
        40, 6.447011566E+01, 4.583390808E+01, 3.842751694E+01
        41, 6.495348358E+01, 4.589461899E+01, 3.949592590E+01
        42, 6.484841919E+01, 4.689854050E+01, 4.015161514E+01
        43, 6.436717224E+01, 4.684034348E+01, 3.888232422E+01
        44, 8.032582092E+01, 4.051536179E+01, 3.207363892E+01
        45, 7.985192108E+01, 4.046261978E+01, 3.645565033E+01
        46, 7.985885620E+01, 3.999116898E+01, 3.454984665E+01
        47, 8.033667755E+01, 4.004353714E+01, 3.140167809E+01
        48, 8.031745148E+01, 4.098741531E+01, 3.311516190E+01
        49, 7.984268188E+01, 4.093476105E+01, 3.986868668E+01
        50, 6.538985443E+01, 4.645093536E+01, 4.095415115E+01
        51, 6.544182587E+01, 4.594844437E+01, 4.054298782E+01
        52, 7.513938904E+00, 4.666298676E+01, 2.135495567E+01
        53, 7.002370834E+00, 4.665539551E+01, 2.106005859E+01
        54, 7.517748356E+00, 4.716884995E+01, 2.217603302E+01
        55, 7.005194187E+00, 4.715911102E+01, 2.184458160E+01
        56, 8.080638885E+01, 4.056264114E+01, 2.764256477E+01
        57, 8.082064819E+01, 4.008993912E+01, 2.800845528E+01
        58, 8.079628754E+01, 4.103417969E+01, 2.738105011E+01
        59, 7.517876148E+00, 4.767469025E+01, 2.301388359E+01
        60, 7.009249210E+00, 4.766299438E+01, 2.264406204E+01
        61, 8.355683136E+01, 3.097131920E+01, 1.966916466E+01
        62, 8.353553772E+01, 3.142214394E+01, 2.025828934E+01
        63, 8.299481201E+01, 3.140281105E+01, 2.142428398E+01
        64, 8.301604462E+01, 3.094163132E+01, 2.083241081E+01
        65, 8.410405731E+01, 3.097933197E+01, 1.851891708E+01
        66, 8.406272888E+01, 3.144280052E+01, 1.917820358E+01
        67, 9.462321472E+01, 7.565755463E+01, 3.323953629E+00
        68, 9.460987854E+01, 7.614844513E+01, 3.439888477E+00
        69, 9.414682770E+01, 7.618152618E+01, 3.497803450E+00
        70, 9.415789795E+01, 7.569055939E+01, 3.382169485E+00
        71, 9.509413910E+01, 7.562881470E+01, 3.270541668E+00
        72, 9.508528137E+01, 7.612331390E+01, 3.386909008E+00
        73, 9.483878326E+01, 6.458962250E+01, 1.002296925E+00
        74, 9.523327637E+01, 6.438714600E+01, 9.295922518E-01
        75, 9.526438141E+01, 6.483531189E+01, 9.973367453E-01
        76, 9.493485260E+01, 6.485812378E+01, 1.037657738E+00
        77, 9.474629974E+01, 6.416438293E+01, 9.420343637E-01
        78, 9.515856171E+01, 6.394970703E+01, 8.695234656E-01
        79, 7.523414612E+00, 4.818494415E+01, 2.387694168E+01
        80, 7.014708996E+00, 4.816969299E+01, 2.345789719E+01
        81, 4.826865768E+01, 3.565658569E+01, 2.119889641E+01
        82, 4.876519775E+01, 3.570187759E+01, 2.154706192E+01
        83, 4.872462082E+01, 3.619662476E+01, 2.134340096E+01
        84, 4.822810364E+01, 3.615134048E+01, 2.100676918E+01
        85, 4.830974197E+01, 3.516136169E+01, 2.137689209E+01
        86, 4.880630875E+01, 3.520664978E+01, 2.173539734E+01
        87, 5.649209595E+01, 4.964959335E+01, 1.622815895E+01
        88, 5.663679886E+01, 4.908655930E+01, 1.732427216E+01
        89, 5.708549500E+01, 4.931554413E+01, 1.802208328E+01
        90, 5.694166183E+01, 4.987587357E+01, 1.694825935E+01
        91, 5.603530502E+01, 4.942704010E+01, 1.563160229E+01
        92, 5.618321991E+01, 4.886574173E+01, 1.673350525E+01
        93, 4.777196884E+01, 3.561143875E+01, 2.087252045E+01
        94, 4.773139954E+01, 3.610622787E+01, 2.069124031E+01
        95, 4.781305695E+01, 3.511618805E+01, 2.104022980E+01
        96, 7.890293598E+00, 7.011664581E+01, 2.594879150E+01
        97, 7.391285419E+00, 7.006213379E+01, 2.595840836E+01
        98, 7.370619774E+00, 6.963722229E+01, 2.670700455E+01
        99, 7.858303070E+00, 6.968279266E+01, 2.676852798E+01
       100, 7.439735889E+00, 7.053477478E+01, 2.518968201E+01
       101, 7.808553219E+00, 7.050431061E+01, 2.525414658E+01
       102, 5.632891846E+01, 5.020030594E+01, 1.505461311E+01
       103, 5.678954315E+01, 5.042342377E+01, 1.581446457E+01
       104, 7.530726910E+00, 4.869575882E+01, 2.474902153E+01
       105, 7.018011093E+00, 4.867523193E+01, 2.427124786E+01
       106, 9.830239105E+01, 6.036774063E+01, 2.414000928E-01
       107, 9.871776581E+01, 6.027348709E+01, 2.199712396E-01
       108, 9.870108032E+01, 6.073787689E+01, 2.630340159E-01
       109, 9.828662872E+01, 6.082875443E+01, 2.848794460E-01
       110, 9.831214142E+01, 5.991175461E+01, 2.019907385E-01
       111, 9.873309326E+01, 5.980705643E+01, 1.804293394E-01
       112, 6.201807404E+01, 7.764745331E+01, 2.482695770E+01
       113, 6.211150360E+01, 7.704509735E+01, 2.651356697E+01
       114, 6.260467911E+01, 7.733590698E+01, 2.607199669E+01
       115, 6.241597366E+01, 7.779008484E+01, 2.473293114E+01
       116, 6.167146683E+01, 7.732557678E+01, 2.538284874E+01
       117, 7.119006348E+01, 4.851185989E+01, 5.347898865E+01
       118, 7.068379974E+01, 4.847764587E+01, 5.764384079E+01
       119, 7.074849701E+01, 4.795800400E+01, 5.175992584E+01
       120, 7.125895691E+01, 4.798745346E+01, 4.875118256E+01
       121, 7.112830353E+01, 4.902959824E+01, 6.065375519E+01
       122, 7.062601471E+01, 4.899099731E+01, 6.747816467E+01
       123, 7.535622597E+00, 4.921119690E+01, 2.562541771E+01
       124, 7.025281429E+00, 4.918561172E+01, 2.509165192E+01
       125, 6.107970428E+01, 6.279998398E+01, 7.023796082E+01
       126, 6.149056625E+01, 6.299179459E+01, 7.014627075E+01
       127, 6.143783188E+01, 6.345633316E+01, 7.003740692E+01
       128, 6.102809525E+01, 6.328203201E+01, 7.010890961E+01
       129, 6.113806152E+01, 6.232115555E+01, 7.040740204E+01
       130, 6.155272675E+01, 6.253253555E+01, 7.028756714E+01
       131, 9.831185150E+01, 5.945497513E+01, 1.667703837E-01
       132, 9.875132751E+01, 5.935047150E+01, 1.452485919E-01
       133, 3.298790741E+01, 8.181333160E+01, 6.681921482E+00
       134, 3.275248337E+01, 8.129367828E+01, 6.557363510E+00
       135, 3.318541336E+01, 8.104634857E+01, 6.415821075E+00
       136, 3.342367935E+01, 8.155891418E+01, 6.546480179E+00
       137, 3.230907822E+01, 8.155467987E+01, 6.706789494E+00
       138, 3.255452728E+01, 8.206888580E+01, 6.819348812E+00
       139, 7.169934845E+01, 4.854237747E+01, 4.800517273E+01
       140, 7.177315521E+01, 4.801309204E+01, 4.489556885E+01
       141, 7.163465881E+01, 4.906469345E+01, 5.177583313E+01
       142, 7.542120934E+00, 4.972685242E+01, 2.648993492E+01
       143, 7.030342579E+00, 4.969708633E+01, 2.589848709E+01
       144, 9.834541321E+01, 5.904822540E+01, 1.393429190E-01
       145, 9.877212524E+01, 5.888016510E+01, 1.134153083E-01
       146, 1.698380089E+01, 3.279294968E+01, 1.186821270E+01
       147, 1.702054977E+01, 3.230344009E+01, 1.173441029E+01
       148, 1.751492500E+01, 3.235173416E+01, 1.196262360E+01
       149, 1.747729111E+01, 3.284234238E+01, 1.209237862E+01
       150, 1.649078369E+01, 3.274285126E+01, 1.163689709E+01
       151, 1.652651215E+01, 3.225460434E+01, 1.149913692E+01
       152, 7.221160889E+01, 4.856941986E+01, 4.277326965E+01
       153, 7.229116821E+01, 4.803625870E+01, 4.088246155E+01
       154, 7.214407349E+01, 4.909625244E+01, 4.479853058E+01
       155, 7.548460484E+00, 5.023981476E+01, 2.731887817E+01
       156, 7.035733700E+00, 5.020919418E+01, 2.668170547E+01
       157, 9.049565315E+00, 9.047509766E+01, 1.299178982E+01
       158, 8.533836365E+00, 9.049517059E+01, 1.307257462E+01
       159, 8.532549858E+00, 9.000962830E+01, 1.314006424E+01
       160, 9.043562889E+00, 8.998957062E+01, 1.305789185E+01
       161, 8.537269592E+00, 9.097579956E+01, 1.300996208E+01
       162, 9.050998688E+00, 9.096147156E+01, 1.293053055E+01
       163, 3.010518456E+01, 7.452744293E+01, 5.198552132E+00
       164, 3.042307281E+01, 7.416073608E+01, 4.960965633E+00
       165, 3.075871468E+01, 7.448394775E+01, 4.905512810E+00
       166, 3.043782997E+01, 7.484249878E+01, 5.141521931E+00
       167, 3.008325195E+01, 7.384802246E+01, 5.033965588E+00
       168, 2.975576973E+01, 7.421852875E+01, 5.279429436E+00
       169, 1.028403282E+01, 5.725746155E+01, 3.498163605E+01
       170, 1.025362396E+01, 5.771794891E+01, 3.494454193E+01
       171, 9.769844055E+00, 5.781826782E+01, 3.461864853E+01
       172, 9.846771240E+00, 5.731518173E+01, 3.465444565E+01
       173, 1.074119949E+01, 5.721664047E+01, 3.529302597E+01
       174, 1.068854046E+01, 5.770269012E+01, 3.521398544E+01
