nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 3.729234695E+01, 1.668003273E+01, 1.412727547E+01
         2, 3.728553391E+01, 1.718998337E+01, 1.401535797E+01
         3, 3.677954865E+01, 1.718314552E+01, 1.404378033E+01
         4, 3.678074646E+01, 1.667627335E+01, 1.415107632E+01
         5, 3.779219818E+01, 1.668022156E+01, 1.409525490E+01
         6, 3.779142380E+01, 1.718866920E+01, 1.397627831E+01
         7, 9.650000000E+01, 1.400000000E+01, 1.081097794E+01
         8, 9.650000000E+01, 1.450000000E+01, 1.083626938E+01
         9, 9.600000000E+01, 1.450000000E+01, 1.083902359E+01
        10, 9.600000000E+01, 1.400000000E+01, 1.081362152E+01
        11, 9.700000000E+01, 1.400000000E+01, 1.080857563E+01
        12, 9.700000000E+01, 1.450000000E+01, 1.083381462E+01
        13, 4.982581329E+01, 5.556834030E+01, 1.153458309E+01
        14, 4.932701492E+01, 5.556461716E+01, 1.154087543E+01
        15, 4.923543549E+01, 5.507723236E+01, 1.157853603E+01
        16, 4.973040390E+01, 5.507984543E+01, 1.157558441E+01
        17, 4.993865204E+01, 5.605241013E+01, 1.148427296E+01
        18, 4.943164444E+01, 5.605113220E+01, 1.149449348E+01
        19, 3.626388168E+01, 1.716512489E+01, 1.406365013E+01
        20, 3.627015305E+01, 1.666220474E+01, 1.416833401E+01
        21, 3.678077698E+01, 1.617393494E+01, 1.426638126E+01
        22, 3.626762009E+01, 1.615862274E+01, 1.428196335E+01
        23, 3.574800110E+01, 1.713303947E+01, 1.407604885E+01
        24, 3.574648666E+01, 1.662871933E+01, 1.418181229E+01
        25, 3.574725723E+01, 1.612934685E+01, 1.429473114E+01
        26, 9.650000000E+01, 1.350000000E+01, 1.078544044E+01
        27, 9.600000000E+01, 1.350000000E+01, 1.078803539E+01
        28, 9.700000000E+01, 1.350000000E+01, 1.078321457E+01
        29, 7.335370636E+01, 8.508607483E+01, 1.276182461E+01
        30, 7.387212372E+01, 8.509220123E+01, 1.285274696E+01
        31, 7.382442474E+01, 8.556813049E+01, 1.265207481E+01
        32, 7.330979919E+01, 8.556372070E+01, 1.255400181E+01
        33, 7.338227844E+01, 8.460341644E+01, 1.298378086E+01
        34, 7.390722656E+01, 8.460859680E+01, 1.306836700E+01
        35, 9.650000000E+01, 1.300000000E+01, 1.075953770E+01
        36, 9.600000000E+01, 1.300000000E+01, 1.076220798E+01
        37, 9.700000000E+01, 1.300000000E+01, 1.075730324E+01
        38, 2.465736389E+01, 4.381107712E+01, 1.816737556E+01
        39, 2.516129875E+01, 4.380996704E+01, 1.812339783E+01
        40, 2.512773705E+01, 4.430351639E+01, 1.794278526E+01
