nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 5.349502182E+01, 8.950621796E+01, 8.635759354E+00
         2, 5.349584579E+01, 9.000524139E+01, 8.617103577E+00
         3, 5.299665833E+01, 9.000438690E+01, 8.567298889E+00
         4, 5.299594879E+01, 8.950524902E+01, 8.584424973E+00
         5, 5.399414825E+01, 8.950712585E+01, 8.686045647E+00
         6, 5.399507523E+01, 9.000604248E+01, 8.665865898E+00
         7, 2.443140602E+01, 2.160267067E+01, 6.878900051E+00
         8, 2.466963005E+01, 2.209080315E+01, 6.801312447E+00
         9, 2.408287621E+01, 2.221924400E+01, 6.912100315E+00
        10, 2.384725571E+01, 2.172515488E+01, 6.984219551E+00
        11, 2.500769234E+01, 2.146611404E+01, 6.775444984E+00
        12, 2.524395180E+01, 2.195276833E+01, 6.692914009E+00
        13, 7.004792786E+01, 4.347997284E+01, 1.361306667E+01
        14, 7.058223724E+01, 4.348746490E+01, 1.354683685E+01
        15, 7.047911835E+01, 4.400931168E+01, 1.365949249E+01
        16, 6.992012787E+01, 4.400329971E+01, 1.374052238E+01
        17, 7.013655090E+01, 4.294943619E+01, 1.349749184E+01
        18, 7.067429352E+01, 4.295947266E+01, 1.344100761E+01
        19, 9.552271271E+01, 8.050904846E+01, 1.523973465E+01
        20, 9.552006531E+01, 8.100830078E+01, 1.508666897E+01
        21, 9.504081726E+01, 8.101838684E+01, 1.526531792E+01
        22, 9.504484558E+01, 8.051968384E+01, 1.544415474E+01
        23, 9.600782776E+01, 8.050225067E+01, 1.506298733E+01
        24, 9.600640869E+01, 8.100225067E+01, 1.493002319E+01
        25, 1.050013351E+01, 8.500034332E+01, 8.118369102E+00
        26, 1.000018597E+01, 8.500032806E+01, 8.132762909E+00
        27, 1.000032711E+01, 8.450045776E+01, 8.152721405E+00
        28, 1.050029182E+01, 8.450047302E+01, 8.138378143E+00
        29, 1.049999332E+01, 8.550024414E+01, 8.099425316E+00
        30, 1.000006390E+01, 8.550022125E+01, 8.113797188E+00
        31, 7.158464813E+01, 4.000148773E+00, 1.053621292E+01
        32, 7.158327484E+01, 4.500100613E+00, 1.057869720E+01
        33, 7.108458710E+01, 4.500099659E+00, 1.059010029E+01
        34, 7.108598328E+01, 4.000170231E+00, 1.054749775E+01
        35, 7.208331299E+01, 4.000127792E+00, 1.052537537E+01
        36, 7.208194733E+01, 4.500101089E+00, 1.056737804E+01
        37, 5.449333191E+01, 8.950795746E+01, 8.735221863E+00
        38, 5.449435425E+01, 9.000679016E+01, 8.713624954E+00
