nodenumber,    x-coordinate,    y-coordinate,velocity-magnitude
         1, 1.949752808E+01, 9.000411987E+01, 1.244738007E+01
         2, 1.899758911E+01, 9.000473785E+01, 1.244781876E+01
         3, 1.899688911E+01, 8.950478363E+01, 1.245760632E+01
         4, 1.949682045E+01, 8.950411987E+01, 1.245791054E+01
         5, 1.949818993E+01, 9.050411987E+01, 1.243702126E+01
         6, 1.899824333E+01, 9.050468445E+01, 1.243815327E+01
         7, 8.047046661E+01, 9.000919342E+01, 1.051179314E+01
         8, 8.045590973E+01, 8.950418091E+01, 1.059413242E+01
         9, 8.096703339E+01, 8.950712585E+01, 1.059097862E+01
        10, 8.097564697E+01, 9.001078033E+01, 1.051580906E+01
        11, 7.996609497E+01, 9.000856018E+01, 1.050662994E+01
        12, 7.994651031E+01, 8.950286865E+01, 1.059670353E+01
        13, 2.001325989E+01, 7.309716034E+01, 1.262699318E+01
        14, 2.000549316E+01, 7.261170197E+01, 1.261843014E+01
        15, 2.052582550E+01, 7.262074280E+01, 1.263842392E+01
        16, 2.053702164E+01, 7.309875488E+01, 1.264712524E+01
        17, 1.950037575E+01, 7.259783173E+01, 1.260001564E+01
        18, 1.950611877E+01, 7.308675385E+01, 1.260846806E+01
        19, 4.499996185E+00, 9.500000000E+01, 1.242526531E+01
        20, 3.999998331E+00, 9.500000000E+01, 1.242543030E+01
        21, 3.999997854E+00, 9.450000000E+01, 1.242590904E+01
        22, 4.499996662E+00, 9.450000000E+01, 1.242577362E+01
        23, 4.499995708E+00, 9.550000763E+01, 1.242473221E+01
        24, 3.999998331E+00, 9.550000000E+01, 1.242494011E+01
        25, 1.998449326E+01, 7.213367462E+01, 1.260838699E+01
        26, 2.049105644E+01, 7.214633942E+01, 1.262772274E+01
        27, 1.949053383E+01, 7.211074829E+01, 1.259041309E+01
        28, 7.895164490E+01, 8.951431274E+01, 1.059725285E+01
        29, 7.896450806E+01, 9.001650238E+01, 1.049023819E+01
        30, 7.847274017E+01, 9.003299713E+01, 1.047585392E+01
        31, 7.846657562E+01, 8.954142761E+01, 1.059062099E+01
        32, 7.946492004E+01, 9.001121521E+01, 1.049960327E+01
        33, 7.944617462E+01, 8.950409698E+01, 1.059821892E+01
        34, 1.849784851E+01, 9.000344086E+01, 1.244808769E+01
        35, 1.849729347E+01, 8.950344086E+01, 1.245717907E+01
        36, 1.849836922E+01, 9.050343323E+01, 1.243915558E+01
        37, 4.499997616E+00, 9.600000763E+01, 1.242413235E+01
        38, 3.999998093E+00, 9.600000000E+01, 1.242442036E+01
        39, 1.799789810E+01, 9.000392151E+01, 1.244814110E+01
        40, 1.799735069E+01, 8.950395966E+01, 1.245659733E+01
        41, 1.799841118E+01, 9.050387573E+01, 1.243993282E+01
        42, 7.138234711E+01, 7.077130890E+01, 1.226210880E+01
        43, 7.137609100E+01, 7.121562195E+01, 1.268974495E+01
        44, 7.086042023E+01, 7.117823029E+01, 1.285777187E+01
        45, 7.087705231E+01, 7.071597290E+01, 1.243489838E+01
        46, 7.189082336E+01, 7.124652100E+01, 1.245297146E+01
        47, 7.197094727E+01, 7.069805908E+01, 1.187905884E+01
        48, 5.624698257E+01, 1.843603134E+01, 1.233856201E+01
        49, 5.631844711E+01, 1.893577766E+01, 1.236794090E+01
        50, 5.580464172E+01, 1.894820023E+01, 1.242557621E+01
        51, 5.571517181E+01, 1.844015694E+01, 1.239702415E+01
        52, 5.683569336E+01, 1.892467308E+01, 1.231382751E+01
        53, 5.677535629E+01, 1.843435860E+01, 1.228483963E+01
        54, 1.749796486E+01, 9.000281525E+01, 1.244817162E+01
        55, 1.749753952E+01, 8.950281525E+01, 1.245601273E+01
        56, 1.749836731E+01, 9.050281525E+01, 1.244048309E+01
        57, 4.999994278E+00, 9.550000763E+01, 1.242445374E+01
        58, 4.999996662E+00, 9.600000763E+01, 1.242383194E+01
        59, 7.797582245E+01, 9.004871368E+01, 1.045847511E+01
        60, 7.798355103E+01, 8.957972717E+01, 1.057835007E+01
        61, 7.137673187E+01, 3.572356033E+01, 1.290039158E+01
        62, 7.120875549E+01, 3.525500870E+01, 1.263806915E+01
        63, 7.163683319E+01, 3.508379745E+01, 1.247287178E+01
        64, 7.181032562E+01, 3.554888535E+01, 1.272340012E+01
        65, 7.093807220E+01, 3.589292145E+01, 1.303380013E+01
        66, 7.077111816E+01, 3.542781067E+01, 1.277171707E+01
        67, 5.499992847E+00, 9.550001526E+01, 1.242407799E+01
        68, 5.499995708E+00, 9.600000763E+01, 1.242347336E+01
        69, 7.747076416E+01, 9.004605865E+01, 1.044307423E+01
        70, 7.748236847E+01, 8.959331512E+01, 1.057133675E+01
        71, 7.698387146E+01, 9.002522278E+01, 1.042737198E+01
        72, 7.694724274E+01, 8.952283478E+01, 1.058596611E+01
        73, 8.499801636E+01, 9.350186157E+01, 1.028704071E+01
        74, 8.449758148E+01, 9.350232697E+01, 1.026605511E+01
        75, 8.449719238E+01, 9.300263214E+01, 1.029996395E+01
        76, 8.499771118E+01, 9.300206757E+01, 1.031855583E+01
        77, 8.499831390E+01, 9.400162506E+01, 1.025732327E+01
        78, 8.449795532E+01, 9.400201416E+01, 1.023412800E+01
        79, 1.649808693E+01, 9.000226593E+01, 1.244769669E+01
        80, 1.599812126E+01, 9.000254822E+01, 1.244729328E+01
        81, 1.599780560E+01, 8.950256348E+01, 1.245347214E+01
        82, 1.649776649E+01, 8.950226593E+01, 1.245432091E+01
        83, 1.649839020E+01, 9.050226593E+01, 1.244111061E+01
        84, 1.599841976E+01, 9.050252533E+01, 1.244120407E+01
        85, 5.999990463E+00, 9.550001526E+01, 1.242367077E+01
        86, 5.999994278E+00, 9.600000763E+01, 1.242306709E+01
        87, 7.752364349E+01, 1.971884346E+01, 1.291811657E+01
        88, 7.738468933E+01, 1.919855118E+01, 1.285609913E+01
        89, 7.788482666E+01, 1.922983551E+01, 1.300348377E+01
        90, 7.782794952E+01, 1.958317184E+01, 1.301034355E+01
        91, 7.694927216E+01, 1.938299561E+01, 1.274373817E+01
        92, 7.712461090E+01, 1.992119408E+01, 1.280206394E+01
        93, 6.996221924E+01, 4.193608856E+01, 1.450493622E+01
        94, 7.012243652E+01, 4.237640762E+01, 1.431584835E+01
        95, 6.956826019E+01, 4.248385239E+01, 1.369784164E+01
        96, 6.942752075E+01, 4.204127884E+01, 1.386999702E+01
        97, 7.049649811E+01, 4.182386398E+01, 1.526897240E+01
        98, 7.069078064E+01, 4.227310562E+01, 1.499436760E+01
        99, 6.499988079E+00, 9.550001526E+01, 1.242326832E+01
       100, 6.499992847E+00, 9.600001526E+01, 1.242255211E+01
       101, 1.549826813E+01, 9.000180054E+01, 1.244685268E+01
       102, 1.549803257E+01, 8.950180054E+01, 1.245258045E+01
       103, 1.549849319E+01, 9.050180054E+01, 1.244120121E+01
       104, 8.990989685E+01, 5.749378967E+01, 9.967021942E+00
       105, 8.939202881E+01, 5.752330399E+01, 9.933928490E+00
       106, 8.937930298E+01, 5.703320694E+01, 9.811823845E+00
       107, 8.990655518E+01, 5.700704575E+01, 9.864659309E+00
       108, 8.992506409E+01, 5.798608017E+01, 1.006534958E+01
       109, 8.941106415E+01, 5.802240753E+01, 1.004932308E+01
       110, 5.353846741E+01, 6.347746658E+01, 8.102434158E+00
       111, 5.312397766E+01, 6.322986603E+01, 8.662875175E+00
       112, 5.338552094E+01, 6.281451035E+01, 8.170470238E+00
       113, 5.380792236E+01, 6.307007217E+01, 7.455119133E+00
       114, 5.328012085E+01, 6.392321396E+01, 9.191123962E+00
       115, 5.286718750E+01, 6.364727402E+01, 9.335639954E+00
       116, 1.499829674E+01, 9.000200653E+01, 1.244631386E+01
       117, 1.499806499E+01, 8.950201416E+01, 1.245159340E+01
       118, 1.499851894E+01, 9.050199127E+01, 1.244109058E+01
       119, 6.999990940E+00, 9.600001526E+01, 1.242197323E+01
       120, 6.999984741E+00, 9.550002289E+01, 1.242278290E+01
       121, 8.946572113E+01, 5.899797058E+01, 1.024274731E+01
       122, 8.997063446E+01, 5.896908951E+01, 1.023726463E+01
       123, 8.999232483E+01, 5.947452164E+01, 1.031211758E+01
       124, 8.950561523E+01, 5.947491455E+01, 1.032008076E+01
       125, 8.994641113E+01, 5.847457886E+01, 1.015512466E+01
       126, 8.943646240E+01, 5.851306534E+01, 1.015206623E+01
       127, 1.449851894E+01, 9.000141144E+01, 1.244568825E+01
       128, 1.449835110E+01, 8.950141144E+01, 1.245061970E+01
       129, 1.449868202E+01, 9.050141144E+01, 1.244084454E+01
       130, 5.396083832E+01, 6.369641113E+01, 7.309130192E+00
       131, 5.424128342E+01, 6.331641006E+01, 6.518401623E+00
       132, 3.033611107E+01, 4.903411102E+01, 1.126996803E+01
       133, 3.037412453E+01, 4.853186035E+01, 1.121945000E+01
       134, 3.085777855E+01, 4.856087494E+01, 1.121725082E+01
       135, 3.081796455E+01, 4.906365967E+01, 1.126786900E+01
       136, 2.984142494E+01, 4.899660873E+01, 1.127273369E+01
       137, 2.987919044E+01, 4.849624634E+01, 1.122260284E+01
       138, 7.999976158E+00, 9.550003815E+01, 1.242155933E+01
       139, 7.999985218E+00, 9.600002289E+01, 1.242064095E+01
       140, 7.499988079E+00, 9.600001526E+01, 1.242136765E+01
       141, 7.499980927E+00, 9.550003052E+01, 1.242223930E+01
       142, 8.499970436E+00, 9.550004578E+01, 1.242073631E+01
       143, 8.499980927E+00, 9.600003052E+01, 1.241978264E+01
       144, 5.573537445E+01, 8.446985626E+01, 5.671461582E+00
       145, 5.581614685E+01, 8.401947021E+01, 4.386979580E+00
       146, 5.633601761E+01, 8.414452362E+01, 4.280349731E+00
       147, 5.626335907E+01, 8.456452179E+01, 4.449203014E+00
       148, 5.518745804E+01, 8.433453369E+01, 7.160881042E+00
       149, 5.524218750E+01, 8.393750000E+01, 0.000000000E+00
       150, 4.330743027E+01, 1.835786247E+01, 1.614265060E+01
       151, 4.344528580E+01, 1.792067337E+01, 1.569274426E+01
       152, 4.393692017E+01, 1.805418777E+01, 1.555888748E+01
       153, 4.381768417E+01, 1.849010277E+01, 1.594261742E+01
       154, 4.281486130E+01, 1.819818687E+01, 1.627479553E+01
       155, 4.298621750E+01, 1.770042992E+01, 1.570268822E+01
